plan_id,session_id,Rsnum,Rspos,Matnr,Werks,requester,purpose,planned_quantity,planned_use_date,status
PLAN-000205,SESS-000205,1000000213,0001,000000000030000085,3000,VZIREQ05,Statutory inspection rebuild,4.000,2026-02-11,OPEN
PLAN-000206,SESS-000206,1000000214,0001,000000000030000086,2000,VZIREQ02,Planned shutdown replacement,4.000,2026-03-15,CLOSED
PLAN-000207,SESS-000207,1000000215,0001,000000000030000086,2000,VZIREQ03,Breakdown replacement,4.000,2026-05-29,OPEN
PLAN-000208,SESS-000208,1000000216,0001,000000000030000087,2000,VZIREQ02,Condition monitoring intervention,1.000,2026-08-10,OPEN
PLAN-000209,SESS-000209,1000000217,0001,000000000030000087,2000,VZIREQ05,Condition monitoring intervention,2.000,2026-03-15,CLOSED
PLAN-000210,SESS-000210,1000000218,0001,000000000030000087,2000,VZIREQ01,Condition monitoring intervention,1.000,2026-08-02,OPEN
PLAN-000211,SESS-000211,1000000219,0001,000000000030000088,4000,VZIREQ05,Statutory inspection rebuild,1.000,2026-07-29,OPEN
PLAN-000212,SESS-000212,1000000220,0001,000000000030000089,2000,VZIREQ01,Capital project spare,3.000,2025-11-04,OPEN
PLAN-000213,SESS-000213,1000000221,0001,000000000030000089,2000,VZIREQ03,Planned shutdown replacement,2.000,2026-07-07,CLOSED
PLAN-000214,SESS-000214,1000000222,0001,000000000030000089,4000,VZIREQ01,Breakdown replacement,2.000,2026-07-05,OPEN
PLAN-000215,SESS-000215,1000000223,0001,000000000030000090,4000,VZIREQ01,Reliability improvement upgrade,4.000,2026-07-04,OPEN
PLAN-000216,SESS-000216,1000000224,0001,000000000030000090,3000,VZIREQ01,Reliability improvement upgrade,1.000,2026-05-12,OPEN
PLAN-000217,SESS-000217,1000000225,0001,000000000030000090,3000,VZIREQ01,Statutory inspection rebuild,4.000,2025-11-18,CLOSED
PLAN-000218,SESS-000218,1000000226,0001,000000000030000091,1000,VZIREQ05,Condition monitoring intervention,2.000,2026-07-14,CLOSED
PLAN-000219,SESS-000219,1000000227,0001,000000000030000091,1000,VZIREQ02,Statutory inspection rebuild,2.000,2026-07-06,CLOSED
PLAN-000220,SESS-000220,1000000228,0001,000000000030000092,2000,VZIREQ01,Breakdown replacement,4.000,2026-02-24,OPEN
PLAN-000221,SESS-000221,1000000230,0001,000000000030000093,1000,VZIREQ03,Breakdown replacement,4.000,2025-11-22,OPEN
PLAN-000222,SESS-000222,1000000231,0001,000000000030000094,3000,VZIREQ03,Statutory inspection rebuild,2.000,2026-01-12,CLOSED
PLAN-000223,SESS-000223,1000000232,0001,000000000030000094,3000,VZIREQ03,Capital project spare,2.000,2026-07-25,CLOSED
PLAN-000224,SESS-000224,1000000233,0001,000000000030000095,4000,VZIREQ05,Breakdown replacement,3.000,2026-07-20,CLOSED
PLAN-000225,SESS-000225,1000000234,0001,000000000030000096,1000,VZIREQ04,Statutory inspection rebuild,3.000,2026-06-16,OPEN
PLAN-000226,SESS-000226,1000000235,0001,000000000030000096,1000,VZIREQ02,Condition monitoring intervention,4.000,2026-02-06,CLOSED
PLAN-000227,SESS-000227,1000000236,0001,000000000030000097,2000,VZIREQ03,Reliability improvement upgrade,3.000,2026-02-24,OPEN
PLAN-000228,SESS-000228,1000000237,0001,000000000030000098,3000,VZIREQ02,Breakdown replacement,2.000,2025-12-13,CLOSED
PLAN-000229,SESS-000229,1000000238,0001,000000000030000098,1000,VZIREQ02,Statutory inspection rebuild,2.000,2026-02-12,OPEN
PLAN-000230,SESS-000230,1000000239,0001,000000000030000099,1000,VZIREQ02,Statutory inspection rebuild,4.000,2026-05-27,OPEN
PLAN-000231,SESS-000231,1000000240,0001,000000000030000099,1000,VZIREQ01,Reliability improvement upgrade,3.000,2026-04-18,OPEN
PLAN-000232,SESS-000232,1000000241,0001,000000000030000099,1000,VZIREQ05,Condition monitoring intervention,1.000,2026-05-23,CLOSED
PLAN-000233,SESS-000233,1000000242,0001,000000000030000100,3000,VZIREQ02,Planned shutdown replacement,1.000,2026-08-11,OPEN
PLAN-000234,SESS-000234,1000000243,0001,000000000030000100,3000,VZIREQ03,Reliability improvement upgrade,4.000,2026-07-20,OPEN
PLAN-000235,SESS-000235,1000000244,0001,000000000030000101,4000,VZIREQ05,Statutory inspection rebuild,3.000,2026-05-01,OPEN
PLAN-000236,SESS-000236,1000000245,0001,000000000030000102,1000,VZIREQ01,Capital project spare,2.000,2026-06-13,OPEN
PLAN-000237,SESS-000237,1000000246,0001,000000000030000102,1000,VZIREQ04,Condition monitoring intervention,1.000,2026-02-17,OPEN
PLAN-000238,SESS-000238,1000000247,0001,000000000030000102,1000,VZIREQ03,Capital project spare,3.000,2026-06-01,CLOSED
PLAN-000239,SESS-000239,1000000248,0001,000000000030000102,4000,VZIREQ03,Planned shutdown replacement,1.000,2025-11-25,CLOSED
PLAN-000240,SESS-000240,1000000249,0001,000000000030000102,4000,VZIREQ05,Condition monitoring intervention,3.000,2026-06-28,OPEN
PLAN-000241,SESS-000241,1000000250,0001,000000000030000103,4000,VZIREQ04,Planned shutdown replacement,4.000,2026-05-05,CLOSED
PLAN-000242,SESS-000242,1000000251,0001,000000000030000104,4000,VZIREQ05,Capital project spare,1.000,2026-04-25,CLOSED
PLAN-000243,SESS-000243,1000000252,0001,000000000030000104,4000,VZIREQ03,Planned shutdown replacement,2.000,2026-02-21,CLOSED
PLAN-000244,SESS-000244,1000000253,0001,000000000030000105,3000,VZIREQ03,Condition monitoring intervention,2.000,2026-07-27,OPEN
PLAN-000245,SESS-000245,1000000254,0001,000000000030000105,3000,VZIREQ01,Reliability improvement upgrade,2.000,2026-05-01,OPEN
PLAN-000246,SESS-000246,1000000255,0001,000000000030000105,3000,VZIREQ05,Planned shutdown replacement,4.000,2026-01-18,CLOSED
PLAN-000247,SESS-000247,1000000256,0001,000000000030000105,2000,VZIREQ01,Condition monitoring intervention,3.000,2026-01-09,CLOSED
PLAN-000248,SESS-000248,1000000257,0001,000000000030000105,2000,VZIREQ02,Reliability improvement upgrade,2.000,2026-02-07,CLOSED
PLAN-000249,SESS-000249,1000000258,0001,000000000030000105,2000,VZIREQ05,Breakdown replacement,1.000,2026-02-25,CLOSED
PLAN-000250,SESS-000250,1000000259,0001,000000000030000106,2000,VZIREQ05,Breakdown replacement,1.000,2026-05-13,OPEN
PLAN-000251,SESS-000251,1000000260,0001,000000000030000107,3000,VZIREQ02,Reliability improvement upgrade,4.000,2026-02-02,OPEN
PLAN-000252,SESS-000252,1000000261,0001,000000000030000108,2000,VZIREQ05,Capital project spare,4.000,2026-03-31,CLOSED
PLAN-000253,SESS-000253,1000000262,0001,000000000030000108,2000,VZIREQ03,Capital project spare,3.000,2026-07-21,CLOSED
PLAN-000254,SESS-000254,1000000263,0001,000000000030000108,2000,VZIREQ04,Capital project spare,3.000,2026-07-07,OPEN
PLAN-000255,SESS-000255,1000000264,0001,000000000030000108,1000,VZIREQ01,Statutory inspection rebuild,3.000,2026-03-27,CLOSED
PLAN-000256,SESS-000256,1000000265,0001,000000000030000108,1000,VZIREQ03,Capital project spare,3.000,2026-05-09,OPEN
PLAN-000257,SESS-000257,1000000266,0001,000000000030000108,1000,VZIREQ01,Condition monitoring intervention,1.000,2025-11-23,OPEN
PLAN-000258,SESS-000258,1000000267,0001,000000000030000109,1000,VZIREQ03,Capital project spare,3.000,2026-05-10,CLOSED
PLAN-000259,SESS-000259,1000000268,0001,000000000030000109,1000,VZIREQ05,Capital project spare,1.000,2026-08-09,OPEN
PLAN-000260,SESS-000260,1000000269,0001,000000000030000109,1000,VZIREQ01,Capital project spare,2.000,2025-12-28,OPEN
PLAN-000261,SESS-000261,1000000270,0001,000000000030000110,2000,VZIREQ02,Condition monitoring intervention,1.000,2026-04-15,OPEN
PLAN-000262,SESS-000262,1000000271,0001,000000000030000111,3000,VZIREQ05,Statutory inspection rebuild,2.000,2026-06-03,CLOSED
PLAN-000263,SESS-000263,1000000272,0001,000000000030000111,3000,VZIREQ02,Capital project spare,2.000,2026-02-12,CLOSED
PLAN-000264,SESS-000264,1000000273,0001,000000000030000112,2000,VZIREQ05,Reliability improvement upgrade,3.000,2026-09-04,CLOSED
PLAN-000265,SESS-000265,1000000274,0001,000000000030000113,4000,VZIREQ01,Statutory inspection rebuild,4.000,2025-11-08,CLOSED
PLAN-000266,SESS-000266,1000000275,0001,000000000030000114,3000,VZIREQ02,Reliability improvement upgrade,4.000,2026-07-01,CLOSED
PLAN-000267,SESS-000267,1000000276,0001,000000000030000114,3000,VZIREQ05,Planned shutdown replacement,3.000,2026-05-19,CLOSED
PLAN-000268,SESS-000268,1000000277,0001,000000000030000114,3000,VZIREQ01,Capital project spare,4.000,2026-07-30,OPEN
PLAN-000269,SESS-000269,1000000279,0001,000000000030000115,3000,VZIREQ02,Breakdown replacement,4.000,2026-04-24,OPEN
PLAN-000270,SESS-000270,1000000280,0001,000000000030000116,1000,VZIREQ05,Breakdown replacement,4.000,2026-02-07,CLOSED
PLAN-000271,SESS-000271,1000000281,0001,000000000030000116,1000,VZIREQ05,Capital project spare,3.000,2026-09-08,CLOSED
PLAN-000272,SESS-000272,1000000282,0001,000000000030000116,1000,VZIREQ05,Capital project spare,1.000,2026-07-01,OPEN
PLAN-000273,SESS-000273,1000000283,0001,000000000030000117,4000,VZIREQ05,Statutory inspection rebuild,1.000,2026-07-15,OPEN
PLAN-000274,SESS-000274,1000000284,0001,000000000030000118,4000,VZIREQ05,Statutory inspection rebuild,4.000,2025-11-25,CLOSED
PLAN-000275,SESS-000275,1000000285,0001,000000000030000118,4000,VZIREQ02,Capital project spare,4.000,2025-12-22,CLOSED
PLAN-000276,SESS-000276,1000000286,0001,000000000030000118,4000,VZIREQ03,Reliability improvement upgrade,1.000,2025-12-20,OPEN
PLAN-000277,SESS-000277,1000000287,0001,000000000030000119,3000,VZIREQ05,Planned shutdown replacement,4.000,2026-06-07,OPEN
PLAN-000278,SESS-000278,1000000288,0001,000000000030000119,3000,VZIREQ05,Statutory inspection rebuild,3.000,2026-01-24,CLOSED
PLAN-000279,SESS-000279,1000000289,0001,000000000030000120,3000,VZIREQ01,Planned shutdown replacement,3.000,2025-12-19,CLOSED
PLAN-000280,SESS-000280,1000000290,0001,000000000030000120,3000,VZIREQ01,Breakdown replacement,4.000,2026-06-18,OPEN
PLAN-000281,SESS-000281,1000000291,0001,000000000030000120,3000,VZIREQ02,Planned shutdown replacement,1.000,2026-06-17,OPEN
PLAN-000282,SESS-000282,1000000292,0001,000000000030000121,3000,VZIREQ02,Planned shutdown replacement,4.000,2026-02-24,CLOSED
PLAN-000283,SESS-000283,1000000293,0001,000000000030000122,3000,VZIREQ04,Planned shutdown replacement,3.000,2026-02-28,CLOSED
PLAN-000284,SESS-000284,1000000294,0001,000000000030000122,3000,VZIREQ03,Planned shutdown replacement,3.000,2025-12-12,CLOSED
PLAN-000285,SESS-000285,1000000297,0001,000000000030000123,4000,VZIREQ05,Breakdown replacement,2.000,2025-11-08,OPEN
PLAN-000286,SESS-000286,1000000298,0001,000000000030000123,4000,VZIREQ03,Reliability improvement upgrade,3.000,2026-04-15,CLOSED
PLAN-000287,SESS-000287,1000000299,0001,000000000030000124,3000,VZIREQ03,Condition monitoring intervention,3.000,2026-03-05,CLOSED
PLAN-000288,SESS-000288,1000000300,0001,000000000030000124,3000,VZIREQ02,Breakdown replacement,3.000,2025-11-24,CLOSED
PLAN-000289,SESS-000289,1000000301,0001,000000000030000124,3000,VZIREQ05,Planned shutdown replacement,3.000,2026-04-01,CLOSED
PLAN-000290,SESS-000290,1000000302,0001,000000000030000125,3000,VZIREQ04,Statutory inspection rebuild,4.000,2026-09-03,OPEN
PLAN-000291,SESS-000291,1000000303,0001,000000000030000125,1000,VZIREQ04,Planned shutdown replacement,3.000,2025-12-23,OPEN
PLAN-000292,SESS-000292,1000000304,0001,000000000030000126,1000,VZIREQ05,Reliability improvement upgrade,2.000,2026-03-26,CLOSED
PLAN-000293,SESS-000293,1000000305,0001,000000000030000127,2000,VZIREQ05,Reliability improvement upgrade,1.000,2026-04-09,OPEN
PLAN-000294,SESS-000294,1000000306,0001,000000000030000127,2000,VZIREQ05,Reliability improvement upgrade,2.000,2026-05-02,OPEN
PLAN-000295,SESS-000295,1000000307,0001,000000000030000128,3000,VZIREQ03,Statutory inspection rebuild,3.000,2026-07-09,CLOSED
PLAN-000296,SESS-000296,1000000308,0001,000000000030000128,3000,VZIREQ01,Condition monitoring intervention,3.000,2026-06-13,OPEN
PLAN-000297,SESS-000297,1000000309,0001,000000000030000128,3000,VZIREQ05,Breakdown replacement,3.000,2026-04-23,CLOSED
PLAN-000298,SESS-000298,1000000310,0001,000000000030000129,2000,VZIREQ01,Planned shutdown replacement,1.000,2026-09-16,CLOSED
PLAN-000299,SESS-000299,1000000311,0001,000000000030000129,2000,VZIREQ02,Statutory inspection rebuild,2.000,2026-06-19,OPEN
PLAN-000300,SESS-000300,1000000312,0001,000000000030000129,2000,VZIREQ04,Capital project spare,3.000,2025-11-17,CLOSED
PLAN-000301,SESS-000301,1000000313,0001,000000000030000130,4000,VZIREQ03,Statutory inspection rebuild,2.000,2026-04-26,CLOSED
PLAN-000302,SESS-000302,1000000314,0001,000000000030000130,4000,VZIREQ05,Planned shutdown replacement,1.000,2026-08-06,OPEN
PLAN-000303,SESS-000303,1000000315,0001,000000000030000130,2000,VZIREQ02,Reliability improvement upgrade,1.000,2026-03-06,OPEN
PLAN-000304,SESS-000304,1000000316,0001,000000000030000130,2000,VZIREQ01,Planned shutdown replacement,2.000,2026-03-25,OPEN
PLAN-000305,SESS-000305,1000000317,0001,000000000030000131,3000,VZIREQ02,Capital project spare,3.000,2025-11-21,CLOSED
PLAN-000306,SESS-000306,1000000318,0001,000000000030000131,3000,VZIREQ05,Capital project spare,1.000,2025-12-16,OPEN
PLAN-000307,SESS-000307,1000000319,0001,000000000030000132,3000,VZIREQ05,Planned shutdown replacement,4.000,2026-08-06,OPEN
PLAN-000308,SESS-000308,1000000320,0001,000000000030000132,3000,VZIREQ03,Planned shutdown replacement,3.000,2026-09-02,CLOSED
PLAN-000309,SESS-000309,1000000321,0001,000000000030000132,3000,VZIREQ03,Capital project spare,2.000,2026-08-13,OPEN
PLAN-000310,SESS-000310,1000000322,0001,000000000030000133,4000,VZIREQ01,Breakdown replacement,1.000,2026-05-14,OPEN
PLAN-000311,SESS-000311,1000000323,0001,000000000030000133,4000,VZIREQ05,Statutory inspection rebuild,1.000,2026-07-22,OPEN
PLAN-000312,SESS-000312,1000000324,0001,000000000030000134,2000,VZIREQ02,Statutory inspection rebuild,2.000,2026-06-21,CLOSED
PLAN-000313,SESS-000313,1000000325,0001,000000000030000135,4000,VZIREQ05,Condition monitoring intervention,2.000,2026-05-08,CLOSED
PLAN-000314,SESS-000314,1000000326,0001,000000000030000135,4000,VZIREQ05,Capital project spare,4.000,2026-07-06,CLOSED
PLAN-000315,SESS-000315,1000000327,0001,000000000030000136,3000,VZIREQ01,Breakdown replacement,4.000,2026-06-23,OPEN
PLAN-000316,SESS-000316,1000000328,0001,000000000030000136,3000,VZIREQ01,Reliability improvement upgrade,1.000,2026-01-08,CLOSED
PLAN-000317,SESS-000317,1000000329,0001,000000000030000137,3000,VZIREQ04,Planned shutdown replacement,2.000,2025-12-31,CLOSED
PLAN-000318,SESS-000318,1000000330,0001,000000000030000138,4000,VZIREQ02,Reliability improvement upgrade,2.000,2026-09-09,OPEN
PLAN-000319,SESS-000319,1000000331,0001,000000000030000139,3000,VZIREQ01,Breakdown replacement,1.000,2026-05-04,OPEN
PLAN-000320,SESS-000320,1000000332,0001,000000000030000140,3000,VZIREQ03,Breakdown replacement,1.000,2026-03-02,OPEN
PLAN-000321,SESS-000321,1000000333,0001,000000000030000140,3000,VZIREQ03,Capital project spare,3.000,2025-12-16,CLOSED
PLAN-000322,SESS-000322,1000000334,0001,000000000030000140,3000,VZIREQ01,Reliability improvement upgrade,1.000,2025-12-09,CLOSED
PLAN-000323,SESS-000323,1000000335,0001,000000000030000141,3000,VZIREQ05,Capital project spare,2.000,2026-04-16,CLOSED
PLAN-000324,SESS-000324,1000000336,0001,000000000030000141,3000,VZIREQ05,Capital project spare,2.000,2026-01-24,CLOSED
PLAN-000325,SESS-000325,1000000337,0001,000000000030000141,2000,VZIREQ05,Planned shutdown replacement,3.000,2025-12-28,CLOSED
PLAN-000326,SESS-000326,1000000338,0001,000000000030000141,2000,VZIREQ01,Condition monitoring intervention,3.000,2025-12-26,CLOSED
PLAN-000327,SESS-000327,1000000339,0001,000000000030000141,2000,VZIREQ05,Condition monitoring intervention,2.000,2025-12-07,CLOSED
PLAN-000328,SESS-000328,1000000340,0001,000000000030000142,1000,VZIREQ04,Planned shutdown replacement,3.000,2026-02-18,OPEN
PLAN-000329,SESS-000329,1000000341,0001,000000000030000142,1000,VZIREQ03,Capital project spare,1.000,2026-06-29,CLOSED
PLAN-000330,SESS-000330,1000000342,0001,000000000030000143,2000,VZIREQ04,Breakdown replacement,2.000,2026-03-15,CLOSED
PLAN-000331,SESS-000331,1000000343,0001,000000000030000143,2000,VZIREQ03,Condition monitoring intervention,1.000,2026-02-08,CLOSED
PLAN-000332,SESS-000332,1000000344,0001,000000000030000143,3000,VZIREQ04,Reliability improvement upgrade,4.000,2026-01-11,OPEN
PLAN-000333,SESS-000333,1000000345,0001,000000000030000144,3000,VZIREQ03,Condition monitoring intervention,2.000,2026-08-01,OPEN
PLAN-000334,SESS-000334,1000000346,0001,000000000030000144,3000,VZIREQ05,Capital project spare,3.000,2026-03-31,OPEN
PLAN-000335,SESS-000335,1000000347,0001,000000000030000145,3000,VZIREQ05,Statutory inspection rebuild,4.000,2026-09-08,CLOSED
PLAN-000336,SESS-000336,1000000348,0001,000000000030000145,4000,VZIREQ02,Statutory inspection rebuild,3.000,2025-12-19,CLOSED
PLAN-000337,SESS-000337,1000000349,0001,000000000030000145,4000,VZIREQ01,Statutory inspection rebuild,1.000,2026-03-09,OPEN
PLAN-000338,SESS-000338,1000000350,0001,000000000030000146,4000,VZIREQ04,Reliability improvement upgrade,1.000,2026-02-12,CLOSED
PLAN-000339,SESS-000339,1000000351,0001,000000000030000146,4000,VZIREQ03,Planned shutdown replacement,2.000,2026-06-14,OPEN
PLAN-000340,SESS-000340,1000000352,0001,000000000030000146,4000,VZIREQ03,Capital project spare,3.000,2026-02-19,OPEN
PLAN-000341,SESS-000341,1000000353,0001,000000000030000147,3000,VZIREQ05,Statutory inspection rebuild,4.000,2026-02-26,CLOSED
PLAN-000342,SESS-000342,1000000354,0001,000000000030000147,3000,VZIREQ01,Capital project spare,4.000,2026-01-23,OPEN
PLAN-000343,SESS-000343,1000000355,0001,000000000030000147,3000,VZIREQ02,Reliability improvement upgrade,2.000,2026-05-10,CLOSED
PLAN-000344,SESS-000344,1000000356,0001,000000000030000148,2000,VZIREQ03,Breakdown replacement,2.000,2026-07-11,CLOSED
PLAN-000345,SESS-000345,1000000357,0001,000000000030000148,2000,VZIREQ03,Statutory inspection rebuild,1.000,2026-03-16,CLOSED
PLAN-000346,SESS-000346,1000000358,0001,000000000030000148,2000,VZIREQ01,Statutory inspection rebuild,4.000,2026-04-13,CLOSED
PLAN-000347,SESS-000347,1000000360,0001,000000000030000149,2000,VZIREQ02,Capital project spare,4.000,2026-06-18,CLOSED
PLAN-000348,SESS-000348,1000000361,0001,000000000030000149,2000,VZIREQ03,Condition monitoring intervention,3.000,2026-02-11,OPEN
PLAN-000349,SESS-000349,1000000362,0001,000000000030000150,2000,VZIREQ01,Capital project spare,3.000,2026-08-28,CLOSED
PLAN-000350,SESS-000350,1000000363,0001,000000000030000150,2000,VZIREQ04,Reliability improvement upgrade,4.000,2026-01-18,OPEN
PLAN-000351,SESS-000351,1000000364,0001,000000000030000150,2000,VZIREQ03,Planned shutdown replacement,3.000,2026-02-09,CLOSED
PLAN-000352,SESS-000352,1000000365,0001,000000000030000151,3000,VZIREQ03,Condition monitoring intervention,2.000,2026-07-17,OPEN
PLAN-000353,SESS-000353,1000000366,0001,000000000030000151,3000,VZIREQ05,Planned shutdown replacement,1.000,2026-05-24,OPEN
PLAN-000354,SESS-000354,1000000367,0001,000000000030000151,4000,VZIREQ05,Planned shutdown replacement,1.000,2026-05-12,CLOSED
PLAN-000355,SESS-000355,1000000368,0001,000000000030000151,4000,VZIREQ05,Planned shutdown replacement,1.000,2026-07-11,CLOSED
PLAN-000356,SESS-000356,1000000369,0001,000000000030000151,4000,VZIREQ02,Condition monitoring intervention,1.000,2026-08-08,CLOSED
PLAN-000357,SESS-000357,1000000370,0001,000000000030000152,3000,VZIREQ02,Capital project spare,4.000,2026-06-02,OPEN
PLAN-000358,SESS-000358,1000000371,0001,000000000030000152,3000,VZIREQ05,Statutory inspection rebuild,2.000,2026-05-28,OPEN
PLAN-000359,SESS-000359,1000000372,0001,000000000030000152,3000,VZIREQ04,Capital project spare,1.000,2026-03-23,CLOSED
PLAN-000360,SESS-000360,1000000373,0001,000000000030000152,2000,VZIREQ05,Planned shutdown replacement,2.000,2026-03-07,CLOSED
PLAN-000361,SESS-000361,1000000374,0001,000000000030000152,2000,VZIREQ02,Reliability improvement upgrade,1.000,2026-01-18,CLOSED
PLAN-000362,SESS-000362,1000000375,0001,000000000030000152,2000,VZIREQ02,Capital project spare,4.000,2025-12-19,CLOSED
PLAN-000363,SESS-000363,1000000376,0001,000000000030000153,4000,VZIREQ02,Condition monitoring intervention,3.000,2026-01-14,OPEN
PLAN-000364,SESS-000364,1000000377,0001,000000000030000153,4000,VZIREQ03,Planned shutdown replacement,1.000,2026-08-26,OPEN
PLAN-000365,SESS-000365,1000000378,0001,000000000030000153,4000,VZIREQ01,Condition monitoring intervention,3.000,2026-06-28,OPEN
PLAN-000366,SESS-000366,1000000379,0001,000000000030000154,2000,VZIREQ03,Planned shutdown replacement,4.000,2025-12-24,OPEN
PLAN-000367,SESS-000367,1000000380,0001,000000000030000154,2000,VZIREQ04,Capital project spare,1.000,2026-07-03,OPEN
PLAN-000368,SESS-000368,1000000381,0001,000000000030000154,2000,VZIREQ05,Planned shutdown replacement,3.000,2026-05-31,OPEN
PLAN-000369,SESS-000369,1000000382,0001,000000000030000155,2000,VZIREQ04,Reliability improvement upgrade,1.000,2026-07-27,OPEN
PLAN-000370,SESS-000370,1000000383,0001,000000000030000155,2000,VZIREQ05,Capital project spare,4.000,2026-04-21,OPEN
PLAN-000371,SESS-000371,1000000384,0001,000000000030000155,2000,VZIREQ01,Planned shutdown replacement,4.000,2026-05-25,OPEN
PLAN-000372,SESS-000372,1000000385,0001,000000000030000155,4000,VZIREQ01,Capital project spare,1.000,2025-11-11,CLOSED
PLAN-000373,SESS-000373,1000000386,0001,000000000030000155,4000,VZIREQ03,Planned shutdown replacement,3.000,2025-12-17,CLOSED
PLAN-000374,SESS-000374,1000000387,0001,000000000030000156,3000,VZIREQ04,Planned shutdown replacement,2.000,2026-01-09,CLOSED
PLAN-000375,SESS-000375,1000000388,0001,000000000030000156,3000,VZIREQ02,Condition monitoring intervention,3.000,2025-11-25,CLOSED
PLAN-000376,SESS-000376,1000000389,0001,000000000030000157,1000,VZIREQ01,Statutory inspection rebuild,3.000,2026-03-28,CLOSED
PLAN-000377,SESS-000377,1000000390,0001,000000000030000157,1000,VZIREQ05,Planned shutdown replacement,4.000,2026-01-21,CLOSED
PLAN-000378,SESS-000378,1000000391,0001,000000000030000158,3000,VZIREQ04,Planned shutdown replacement,3.000,2026-02-06,CLOSED
PLAN-000379,SESS-000379,1000000392,0001,000000000030000158,4000,VZIREQ01,Reliability improvement upgrade,4.000,2026-01-31,CLOSED
PLAN-000380,SESS-000380,1000000393,0001,000000000030000159,3000,VZIREQ01,Breakdown replacement,4.000,2026-04-20,OPEN
PLAN-000381,SESS-000381,1000000394,0001,000000000030000159,3000,VZIREQ02,Reliability improvement upgrade,2.000,2026-08-01,OPEN
PLAN-000382,SESS-000382,1000000396,0001,000000000030000159,1000,VZIREQ04,Capital project spare,3.000,2026-06-03,CLOSED
PLAN-000383,SESS-000383,1000000397,0001,000000000030000160,4000,VZIREQ02,Planned shutdown replacement,4.000,2026-03-23,OPEN
PLAN-000384,SESS-000384,1000000398,0001,000000000030000160,4000,VZIREQ01,Statutory inspection rebuild,2.000,2026-07-18,OPEN
PLAN-000385,SESS-000385,1000000399,0001,000000000030000161,2000,VZIREQ01,Condition monitoring intervention,3.000,2026-07-22,OPEN
PLAN-000386,SESS-000386,1000000400,0001,000000000030000161,2000,VZIREQ02,Condition monitoring intervention,4.000,2026-01-27,OPEN
PLAN-000387,SESS-000387,1000000401,0001,000000000030000161,2000,VZIREQ04,Planned shutdown replacement,1.000,2026-07-09,CLOSED
PLAN-000388,SESS-000388,1000000402,0001,000000000030000162,1000,VZIREQ04,Capital project spare,4.000,2026-07-07,OPEN
PLAN-000389,SESS-000389,1000000403,0001,000000000030000162,3000,VZIREQ05,Planned shutdown replacement,2.000,2026-06-23,CLOSED
PLAN-000390,SESS-000390,1000000404,0001,000000000030000163,2000,VZIREQ05,Planned shutdown replacement,4.000,2026-02-23,CLOSED
PLAN-000391,SESS-000391,1000000405,0001,000000000030000163,2000,VZIREQ01,Capital project spare,4.000,2026-05-10,CLOSED
PLAN-000392,SESS-000392,1000000407,0001,000000000030000164,1000,VZIREQ01,Statutory inspection rebuild,1.000,2026-06-02,OPEN
PLAN-000393,SESS-000393,1000000408,0001,000000000030000164,1000,VZIREQ04,Reliability improvement upgrade,4.000,2025-12-19,CLOSED
PLAN-000394,SESS-000394,1000000409,0001,000000000030000165,3000,VZIREQ02,Condition monitoring intervention,4.000,2026-07-21,OPEN
PLAN-000395,SESS-000395,1000000410,0001,000000000030000165,3000,VZIREQ04,Planned shutdown replacement,3.000,2026-05-04,CLOSED
PLAN-000396,SESS-000396,1000000411,0001,000000000030000165,3000,VZIREQ05,Reliability improvement upgrade,2.000,2026-05-10,OPEN
PLAN-000397,SESS-000397,1000000412,0001,000000000030000166,2000,VZIREQ05,Statutory inspection rebuild,1.000,2026-01-04,OPEN
PLAN-000398,SESS-000398,1000000413,0001,000000000030000166,2000,VZIREQ03,Capital project spare,3.000,2026-01-10,CLOSED
PLAN-000399,SESS-000399,1000000414,0001,000000000030000166,2000,VZIREQ03,Statutory inspection rebuild,3.000,2025-12-08,CLOSED
PLAN-000400,SESS-000400,1000000415,0001,000000000030000167,1000,VZIREQ03,Planned shutdown replacement,2.000,2025-12-16,CLOSED
PLAN-000401,SESS-000401,1000000416,0001,000000000030000168,2000,VZIREQ01,Reliability improvement upgrade,2.000,2026-04-09,CLOSED
PLAN-000402,SESS-000402,1000000417,0001,000000000030000169,4000,VZIREQ03,Breakdown replacement,3.000,2026-07-02,OPEN
PLAN-000403,SESS-000403,1000000418,0001,000000000030000169,4000,VZIREQ03,Condition monitoring intervention,2.000,2026-08-07,OPEN
PLAN-000404,SESS-000404,1000000419,0001,000000000030000169,4000,VZIREQ01,Condition monitoring intervention,3.000,2026-04-22,OPEN
PLAN-000405,SESS-000405,1000000420,0001,000000000030000169,1000,VZIREQ05,Capital project spare,2.000,2026-05-05,OPEN
PLAN-000406,SESS-000406,1000000421,0001,000000000030000169,1000,VZIREQ04,Statutory inspection rebuild,1.000,2026-02-13,CLOSED
PLAN-000407,SESS-000407,1000000422,0001,000000000030000170,3000,VZIREQ01,Breakdown replacement,2.000,2026-06-04,OPEN
PLAN-000408,SESS-000408,1000000423,0001,000000000030000170,3000,VZIREQ05,Planned shutdown replacement,2.000,2026-07-29,CLOSED
PLAN-000409,SESS-000409,1000000424,0001,000000000030000171,2000,VZIREQ02,Statutory inspection rebuild,3.000,2025-12-05,CLOSED
