Matnr,Spras,Maktx
000000000010000297,EN,Conveyor Idler Roller Set 10/8 KSB
000000000010000298,EN,PLC Digital Output Card 8/6 SANDVIK
000000000010000299,EN,Variable Speed Drive Unit 8/6 SIEMENS
000000000080000073,EN,Skirt Rubber Liner Section 10/8 METSO
000000000010000300,EN,Crusher Hydroset Cylinder DN100 SEW
000000000010000301,EN,Centrifugal Pump Casing 6/4 SANDVIK
000000000010000302,EN,Hydraulic Pump Assembly 200MM SEW
000000000010000303,EN,Thickener Rake Drive Gearbox TYPE A SEW
000000000010000304,EN,Mill Liner 110KW SKF
000000000080000074,EN,Vertical Sump Pump Column HD SIEMENS
000000000080000075,EN,Mill Liner 8/6 FLSM
000000000010000305,EN,Mill Lube Pump Motor 250KW ABB
000000000010000306,EN,Skirt Rubber Liner Section DN100 KSB
000000000010000307,EN,Centrifugal Pump Casing HD SEW
000000000010000308,EN,Hydraulic Pump Assembly TYPE B MULTOTEC
000000000010000309,EN,Crusher Hydroset Cylinder 150MM SKF
000000000010000310,EN,Slurry Density Transmitter 250KW KSB
000000000030000062,EN,Ball Mill Shell Liner Plate 55KW KSB
000000000010000311,EN,Crusher Hydroset Cylinder 8/6 WEIR
000000000010000312,EN,Hydraulic Pump Assembly 110KW FLSM
000000000030000063,EN,Hydraulic Power Pack 55KW SKF
000000000010000313,EN,Conveyor Idler Roller Set DN100 SIEMENS
000000000010000314,EN,Flow Meter Sensor Head 250KW WEIR
000000000010000315,EN,Conveyor Take-Up Pulley HD ABB
000000000010000316,EN,Flotation Blower Motor 55KW ABB
000000000010000317,EN,Pressure Transmitter Assembly 6/4 SEW
000000000010000318,EN,Slurry Pump Mechanical Seal 8/6
000000000010000319,EN,Vertical Sump Pump Column HD ABB
000000000030000064,EN,Flow Meter Sensor Head DN150 ABB
000000000010000320,EN,Conveyor Drive Motor 250MM SEW
000000000030000065,EN,Conveyor Drive Gearbox 200MM SANDVIK
000000000010000321,EN,Conveyor Take-Up Pulley HD WEIR
000000000010000322,EN,Soft Starter Power Module DN100 FLSM
000000000030000066,EN,Pressure Transmitter Assembly HD SIEMENS
000000000010000323,EN,Pump Impeller TYPE A SKF
000000000010000324,EN,Thickener Rake Seal Kit 200MM SKF
000000000030000067,EN,Pump Impeller 55KW SKF
000000000010000325,EN,Cyclone Apex Liner 250KW ABB
000000000010000326,EN,Conveyor Pulley Bearing DN150 METSO
000000000010000327,EN,Mill Lube Pump Motor TYPE B METSO
000000000030000068,EN,Flotation Cell Impeller 200MM FLSM
000000000010000328,EN,Hydraulic Pump Assembly 8/6 FLSM
000000000010000329,EN,Thickener Rake Drive Gearbox 10/8
000000000030000069,EN,Hydraulic Power Pack 8/6 KSB
000000000010000330,EN,Conveyor Drive Gearbox DN150 SANDVIK
000000000010000331,EN,Mill Lube Pump Motor 55KW SKF
000000000010000332,EN,Spherical Roller Bearing 150MM METSO
000000000010000333,EN,Pressure Transmitter Assembly HD KSB
000000000080000076,EN,PLC Digital Output Card 150MM METSO
000000000010000334,EN,Thickener Rake Drive Gearbox DN100
000000000010000335,EN,Slurry Pump Mechanical Seal 55KW METSO
000000000090000016,EN,Skirt Rubber Liner Section 200MM SANDVIK
000000000010000336,EN,Ball Mill Trunnion Bearing 55KW SANDVIK
000000000030000070,EN,Slurry Pump Mechanical Seal TYPE A ABB
000000000010000337,EN,Ventilation Fan Motor 110KW SKF
000000000080000077,EN,Conveyor Pulley Bearing DN150 SKF
000000000030000071,EN,Hydraulic Pump Assembly 200MM METSO
000000000010000338,EN,Apron Feeder Gear Reducer 250MM SIEMENS
000000000080000078,EN,Mill Liner 6/4 SKF
000000000010000339,EN,Flow Meter Sensor Head DN150 SEW
000000000010000340,EN,Flow Meter Sensor Head DN150 SEW
000000000010000341,EN,Ball Mill Shell Liner Plate 55KW ABB
000000000010000342,EN,Valve Assembly DN100 SANDVIK
000000000010000343,EN,Centrifugal Pump Casing 8/6 FLSM
000000000010000344,EN,Mill Lube Pump Motor 250MM MULTOTEC
000000000010000345,EN,Spherical Roller Bearing DN150 FLSM
000000000010000346,EN,Conveyor Drive Gearbox 6/4 WEIR
000000000080000079,EN,Gland Packing Seal Ring 200MM ABB
000000000010000347,EN,Apron Feeder Gear Reducer DN100 ABB
000000000010000348,EN,Thickener Rake Seal Kit DN150 WEIR
000000000010000349,EN,Flow Meter Sensor Head 6/4 SEW
000000000030000072,EN,Thickener Rake Seal Kit DN100 MULTOTEC
000000000010000350,EN,Slurry Pump Mechanical Seal HD METSO
000000000010000351,EN,PLC Digital Output Card DN150 ABB
000000000010000352,EN,Crusher Hydroset Cylinder 200MM WEIR
000000000010000353,EN,Flotation Cell Impeller 10/8 MULTOTEC
000000000010000354,EN,Conveyor Drive Gearbox DN100 SANDVIK
000000000030000073,EN,Pump Impeller TYPE B SANDVIK
000000000010000355,EN,Ball Mill Shell Liner Plate 250KW SKF
000000000010000356,EN,Ball Mill Gearbox Assembly 250MM SKF
000000000010000357,EN,Flow Meter Sensor Head TYPE B SEW
000000000010000358,EN,Thickener Rake Drive Gearbox 55KW SEW
000000000010000359,EN,Ball Mill Shell Liner Plate 55KW KSB
000000000010000360,EN,MCC Feeder Circuit Breaker 150MM SANDVIK
000000000010000361,EN,Ball Mill Trunnion Bearing HD WEIR
000000000030000074,EN,PLC Digital Output Card HD FLSM
000000000010000362,EN,Ball Mill Shell Liner Plate 150MM KSB
000000000010000363,EN,Slurry Density Transmitter 250KW WEIR
000000000010000364,EN,Flow Meter Sensor Head 6/4 SANDVIK
000000000010000365,EN,Pressure Transmitter Assembly 6/4
000000000010000366,EN,Slurry Density Transmitter DN100 FLSM
000000000010000367,EN,Soft Starter Power Module 250KW WEIR
000000000010000368,EN,Mill Lube Pump Motor 10/8 WEIR
000000000080000080,EN,Soft Starter Power Module 6/4 KSB
000000000010000369,EN,Hydraulic Power Pack DN150 KSB
000000000010000370,EN,Spherical Roller Bearing 250MM MULTOTEC
000000000030000075,EN,Hydraulic Power Pack 8/6 SANDVIK
000000000080000081,EN,Pressure Transmitter Assembly 110KW SKF
000000000010000371,EN,Spherical Roller Bearing 6/4 MULTOTEC
000000000030000076,EN,Belt Scraper Blade Cartridge 8/6 ABB
000000000030000077,EN,Thickener Rake Seal Kit 250KW METSO
000000000010000372,EN,Conveyor Drive Gearbox HD MULTOTEC
000000000080000082,EN,Pump Impeller 250KW FLSM
000000000010000373,EN,Valve Assembly 8/6 MULTOTEC
000000000010000374,EN,Hydraulic Pump Assembly 6/4 SANDVIK
000000000080000083,EN,Conveyor Drive Motor TYPE A FLSM
000000000010000375,EN,Conveyor Drive Motor 10/8 METSO
000000000080000084,EN,Conveyor Idler Roller Set 200MM WEIR
000000000010000376,EN,Pump Impeller 10/8 ABB
000000000010000377,EN,Ventilation Fan Motor 8/6 SEW
000000000010000378,EN,Crusher Main Shaft Bearing DN150 ABB
000000000090000017,EN,Screen Exciter Bearing DN150 SEW
000000000080000085,EN,Gland Packing Seal Ring 250KW FLSM
000000000080000086,EN,Skirt Rubber Liner Section 150MM WEIR
000000000010000379,EN,Flotation Cell Impeller TYPE A METSO
000000000080000087,EN,Flotation Blower Motor 8/6 METSO
000000000030000078,EN,Centrifugal Pump Casing 6/4 SKF
000000000030000079,EN,Hydraulic Power Pack TYPE A SEW
000000000010000380,EN,Conveyor Pulley Bearing TYPE B SEW
000000000010000381,EN,Conveyor Idler Roller Set DN150 KSB
000000000010000382,EN,Ball Mill Shell Liner Plate 150MM
000000000010000383,EN,PLC Digital Output Card DN100 KSB
000000000010000384,EN,Flotation Cell Impeller DN150 MULTOTEC
000000000030000080,EN,Ventilation Fan Motor 8/6 MULTOTEC
000000000030000081,EN,Slurry Pump Mechanical Seal 150MM SEW
000000000010000385,EN,Hydraulic Power Pack 200MM KSB
000000000080000088,EN,Level Radar Transmitter DN100 WEIR
000000000030000082,EN,Conveyor Idler Roller Set DN150 WEIR
000000000010000386,EN,Pressure Transmitter Assembly DN100 WEIR
000000000010000387,EN,Skirt Rubber Liner Section HD SEW
000000000080000089,EN,Belt Scraper Blade Cartridge 200MM ABB
000000000030000083,EN,Conveyor Drive Motor TYPE B FLSM
000000000090000018,EN,Ball Mill Shell Liner Plate 55KW WEIR
000000000010000388,EN,Skirt Rubber Liner Section 8/6 SIEMENS
000000000080000090,EN,PLC Digital Output Card DN150 SEW
000000000010000389,EN,Conveyor Take-Up Pulley 110KW WEIR
000000000010000390,EN,Ventilation Fan Motor 250MM SIEMENS
000000000030000084,EN,Conveyor Idler Roller Set 10/8 WEIR
000000000010000391,EN,Conveyor Pulley Bearing 10/8 MULTOTEC
000000000030000085,EN,Gearbox Bearing 6/4 MULTOTEC
000000000010000392,EN,Belt Scraper Blade Cartridge 110KW WEIR
000000000010000393,EN,Ventilation Fan Motor 10/8 SEW
000000000010000394,EN,Soft Starter Power Module 8/6 WEIR
000000000010000395,EN,Slurry Pump Mechanical Seal HD
000000000010000396,EN,Cyclone Apex Liner TYPE A MULTOTEC
000000000090000019,EN,Conveyor Pulley Bearing 110KW MULTOTEC
000000000010000397,EN,Cyclone Apex Liner 150MM WEIR
000000000010000398,EN,Vertical Sump Pump Column 6/4 KSB
000000000010000399,EN,Pressure Transmitter Assembly 250KW
000000000010000400,EN,Slurry Pump Mechanical Seal 6/4 SKF
000000000080000091,EN,Ventilation Fan Motor HD MULTOTEC
000000000010000401,EN,Flotation Blower Motor 10/8 SANDVIK
000000000010000402,EN,Ball Mill Trunnion Bearing 250MM METSO
000000000010000403,EN,Pump Impeller 200MM SIEMENS
000000000030000086,EN,MCC Feeder Circuit Breaker HD SIEMENS
000000000010000404,EN,Conveyor Idler Roller Set 250KW FLSM
000000000010000405,EN,Hydraulic Pump Assembly TYPE A METSO
000000000010000406,EN,Skirt Rubber Liner Section DN100 ABB
000000000080000092,EN,Ventilation Fan Motor 10/8 MULTOTEC
000000000010000407,EN,Pressure Transmitter Assembly 10/8
000000000010000408,EN,Soft Starter Power Module 6/4 SKF
000000000090000020,EN,Thickener Rake Drive Gearbox TYPE A SEW
000000000010000409,EN,Hydraulic Power Pack 150MM MULTOTEC
000000000010000410,EN,Pressure Transmitter Assembly 55KW METSO
000000000090000021,EN,Soft Starter Power Module TYPE B FLSM
000000000080000093,EN,Thickener Rake Drive Gearbox DN150
000000000080000094,EN,Crusher Main Shaft Bearing DN100 SKF
000000000030000087,EN,Ball Mill Gearbox Assembly 55KW MULTOTEC
000000000080000095,EN,Pressure Transmitter Assembly 6/4 METSO
000000000010000411,EN,Mill Liner 55KW WEIR
000000000010000412,EN,MCC Feeder Circuit Breaker HD WEIR
000000000010000413,EN,Flow Meter Sensor Head TYPE B SEW
000000000010000414,EN,Variable Speed Drive Unit 250KW ABB
000000000030000088,EN,PLC Digital Output Card 55KW WEIR
000000000010000415,EN,Ball Mill Gearbox Assembly TYPE B KSB
000000000010000416,EN,Spherical Roller Bearing 250MM WEIR
000000000010000417,EN,Conveyor Idler Roller Set 110KW KSB
000000000030000089,EN,Gearbox Bearing HD MULTOTEC
000000000090000022,EN,MCC Feeder Circuit Breaker 250MM FLSM
000000000010000418,EN,Hydraulic Power Pack 10/8 SEW
000000000010000419,EN,Hydraulic Pump Assembly 150MM MULTOTEC
000000000010000420,EN,PLC Digital Output Card 6/4 ABB
000000000010000421,EN,Level Radar Transmitter 250KW MULTOTEC
000000000080000096,EN,Conveyor Idler Roller Set TYPE A KSB
000000000010000422,EN,Cyclone Apex Liner DN100 METSO
000000000010000423,EN,Skirt Rubber Liner Section 6/4 KSB
000000000010000424,EN,Flow Meter Sensor Head 200MM ABB
000000000010000425,EN,Variable Speed Drive Unit 8/6 SIEMENS
000000000010000426,EN,Conveyor Idler Roller Set 200MM WEIR
000000000010000427,EN,Mill Lube Pump Motor 150MM FLSM
000000000010000428,EN,Conveyor Take-Up Pulley 10/8 SKF
000000000010000429,EN,Flotation Blower Motor DN100 SIEMENS
000000000010000430,EN,Vertical Sump Pump Column 55KW SIEMENS
000000000010000431,EN,Conveyor Drive Gearbox 10/8 ABB
000000000010000432,EN,Conveyor Drive Gearbox 250MM MULTOTEC
000000000030000090,EN,Crusher Hydroset Cylinder 110KW KSB
000000000010000433,EN,Slurry Density Transmitter 200MM FLSM
000000000010000434,EN,Slurry Density Transmitter 150MM WEIR
000000000010000435,EN,Apron Feeder Gear Reducer 200MM ABB
000000000010000436,EN,Cyclone Apex Liner TYPE B METSO
000000000010000437,EN,Ball Mill Shell Liner Plate 250MM WEIR
000000000030000091,EN,Slurry Density Transmitter DN150 SEW
000000000010000438,EN,Vertical Sump Pump Column HD SKF
000000000010000439,EN,Soft Starter Power Module HD SIEMENS
000000000010000440,EN,Slurry Density Transmitter 6/4 SKF
000000000030000092,EN,Ball Mill Shell Liner Plate DN150 ABB
000000000010000441,EN,Slurry Pump Mechanical Seal 250MM ABB
000000000080000097,EN,Vertical Sump Pump Column 8/6 WEIR
000000000010000442,EN,Vertical Sump Pump Column 250KW SKF
000000000010000443,EN,Flow Meter Sensor Head 10/8 SEW
000000000010000444,EN,Hydraulic Pump Assembly DN100 SKF
000000000010000445,EN,Mill Lube Pump Motor 6/4 METSO
000000000010000446,EN,Valve Assembly 55KW SKF
000000000030000093,EN,Level Radar Transmitter 8/6 KSB
000000000080000098,EN,MCC Feeder Circuit Breaker 8/6 SIEMENS
000000000010000447,EN,Flow Meter Sensor Head TYPE A SKF
000000000010000448,EN,Pressure Transmitter Assembly 150MM
000000000010000449,EN,MCC Feeder Circuit Breaker HD SKF
000000000030000094,EN,Pressure Transmitter Assembly TYPE A
000000000010000450,EN,Belt Scraper Blade Cartridge DN150 SEW
000000000090000023,EN,Mill Liner 250KW WEIR
000000000010000451,EN,Slurry Pump Mechanical Seal 150MM KSB
000000000030000095,EN,Pressure Transmitter Assembly HD WEIR
000000000010000452,EN,Thickener Rake Seal Kit 8/6 SKF
000000000010000453,EN,Conveyor Take-Up Pulley TYPE B KSB
000000000010000454,EN,Pressure Transmitter Assembly 250MM SEW
000000000080000099,EN,Level Radar Transmitter 250MM MULTOTEC
000000000010000455,EN,Flotation Cell Impeller 55KW ABB
000000000010000456,EN,Slurry Pump Mechanical Seal TYPE A METSO
000000000010000457,EN,Flotation Blower Motor 10/8 SKF
000000000010000458,EN,Mill Liner 6/4 FLSM
000000000010000459,EN,Cyclone Apex Liner 55KW SIEMENS
000000000080000100,EN,Conveyor Take-Up Pulley 200MM FLSM
000000000010000460,EN,Hydraulic Pump Assembly TYPE B WEIR
000000000010000461,EN,Belt Scraper Blade Cartridge 55KW METSO
000000000010000462,EN,Conveyor Drive Motor TYPE A ABB
000000000010000463,EN,Pump Impeller TYPE A SANDVIK
000000000030000096,EN,Skirt Rubber Liner Section 200MM SANDVIK
000000000010000464,EN,Pump Impeller HD KSB
000000000030000097,EN,Spherical Roller Bearing 8/6 SIEMENS
000000000010000465,EN,MCC Feeder Circuit Breaker 55KW SIEMENS
000000000010000466,EN,Spherical Roller Bearing 200MM MULTOTEC
000000000010000467,EN,Belt Scraper Blade Cartridge 150MM WEIR
000000000010000468,EN,Vertical Sump Pump Column 110KW SANDVIK
000000000010000469,EN,Vertical Sump Pump Column TYPE A SANDVIK
000000000030000098,EN,Skirt Rubber Liner Section TYPE A FLSM
000000000010000470,EN,Soft Starter Power Module 110KW SKF
000000000010000471,EN,Crusher Hydroset Cylinder 250KW MULTOTEC
000000000090000024,EN,Crusher Main Shaft Bearing 110KW SEW
000000000010000472,EN,Crusher Main Shaft Bearing TYPE A SEW
000000000010000473,EN,Ball Mill Shell Liner Plate HD WEIR
000000000080000101,EN,PLC Digital Output Card TYPE A SIEMENS
000000000010000474,EN,Conveyor Pulley Bearing 55KW KSB
000000000010000475,EN,Vertical Sump Pump Column 110KW SANDVIK
000000000030000099,EN,Slurry Density Transmitter 55KW SEW
000000000080000102,EN,Conveyor Take-Up Pulley 8/6 SEW
000000000080000103,EN,Thickener Rake Drive Gearbox HD KSB
000000000030000100,EN,Belt Scraper Blade Cartridge 8/6 SIEMENS
000000000010000476,EN,Slurry Pump Wet End Assembly 250KW WEIR
000000000090000025,EN,Pump Impeller TYPE A METSO
000000000090000026,EN,Skirt Rubber Liner Section DN100 WEIR
000000000010000477,EN,Conveyor Take-Up Pulley 6/4 WEIR
000000000010000478,EN,Flow Meter Sensor Head 250KW WEIR
000000000030000101,EN,Slurry Density Transmitter HD SANDVIK
000000000030000102,EN,Flotation Cell Impeller 250MM SKF
000000000030000103,EN,Ball Mill Trunnion Bearing 6/4 SKF
000000000010000479,EN,Vertical Sump Pump Column 10/8 MULTOTEC
000000000080000104,EN,Ball Mill Trunnion Bearing 250MM SIEMENS
000000000010000480,EN,Conveyor Idler Roller Set 250MM SIEMENS
000000000010000481,EN,Agitator Shaft Seal TYPE B METSO
000000000010000482,EN,Conveyor Pulley Bearing DN100 KSB
000000000010000483,EN,Flow Meter Sensor Head 250KW FLSM
000000000010000484,EN,Pressure Transmitter Assembly 200MM
000000000010000485,EN,Conveyor Take-Up Pulley DN100 FLSM
000000000080000105,EN,Conveyor Drive Motor 110KW WEIR
000000000010000486,EN,Mill Lube Pump Motor DN150 FLSM
000000000010000487,EN,Ball Mill Gearbox Assembly 8/6 SEW
000000000010000488,EN,Ball Mill Gearbox Assembly TYPE B WEIR
000000000030000104,EN,MCC Feeder Circuit Breaker DN150 WEIR
000000000010000489,EN,Mill Liner 8/6 SANDVIK
000000000080000106,EN,Conveyor Drive Motor 6/4 SANDVIK
000000000010000490,EN,Screen Exciter Bearing HD SEW
000000000080000107,EN,Flotation Blower Motor TYPE A MULTOTEC
000000000090000027,EN,Flotation Cell Impeller TYPE A ABB
000000000010000491,EN,Ball Mill Gearbox Assembly TYPE B
000000000010000492,EN,Thickener Rake Seal Kit 150MM KSB
000000000080000108,EN,PLC Digital Output Card 10/8 SEW
000000000010000493,EN,Slurry Pump Mechanical Seal 55KW METSO
000000000010000494,EN,Screen Exciter Bearing 6/4 SEW
000000000080000109,EN,Ball Mill Shell Liner Plate TYPE B
000000000010000495,EN,Ventilation Fan Motor DN100 KSB
000000000010000496,EN,Hydraulic Pump Assembly TYPE A MULTOTEC
000000000030000105,EN,Conveyor Idler Roller Set 250MM ABB
000000000010000497,EN,Valve Assembly 110KW METSO
000000000090000028,EN,Valve Assembly 250MM SKF
000000000010000498,EN,Ball Mill Gearbox Assembly HD FLSM
000000000010000499,EN,Skirt Rubber Liner Section 110KW METSO
000000000010000500,EN,Slurry Pump Mechanical Seal 150MM METSO
000000000030000106,EN,Skirt Rubber Liner Section 110KW SIEMENS
000000000080000110,EN,Flotation Blower Motor TYPE A SEW
000000000010000501,EN,Slurry Pump Mechanical Seal 6/4 SEW
000000000080000111,EN,Conveyor Take-Up Pulley 250MM SANDVIK
000000000010000502,EN,Vertical Sump Pump Column TYPE B SIEMENS
000000000010000503,EN,Soft Starter Power Module HD SIEMENS
000000000010000504,EN,Skirt Rubber Liner Section DN150 ABB
000000000010000505,EN,Ball Mill Trunnion Bearing TYPE A METSO
000000000010000506,EN,Thickener Rake Seal Kit 10/8 SKF
000000000010000507,EN,Flow Meter Sensor Head 150MM FLSM
000000000010000508,EN,Level Radar Transmitter DN150 KSB
000000000010000509,EN,Mill Liner 8/6 SANDVIK
000000000010000510,EN,Gearbox Bearing 55KW ABB
000000000010000511,EN,Flotation Cell Impeller 150MM SEW
000000000010000512,EN,Ball Mill Shell Liner Plate 10/8 SKF
000000000010000513,EN,Conveyor Take-Up Pulley 250KW SANDVIK
000000000010000514,EN,Hydraulic Power Pack HD SEW
000000000010000515,EN,Hydraulic Pump Assembly 150MM KSB
000000000010000516,EN,Pump Impeller 10/8 SIEMENS
000000000010000517,EN,Conveyor Take-Up Pulley 200MM METSO
000000000010000518,EN,Flow Meter Sensor Head 55KW SEW
000000000030000107,EN,Mill Liner 8/6 SKF
000000000010000519,EN,Conveyor Pulley Bearing 110KW SANDVIK
000000000010000520,EN,Pressure Transmitter Assembly 250MM KSB
000000000010000521,EN,Ball Mill Trunnion Bearing 200MM FLSM
000000000010000522,EN,Spherical Roller Bearing 10/8 WEIR
000000000030000108,EN,Flow Meter Sensor Head 10/8 SEW
000000000010000523,EN,Apron Feeder Gear Reducer 6/4 MULTOTEC
000000000030000109,EN,Ball Mill Gearbox Assembly 6/4 MULTOTEC
000000000010000524,EN,Skirt Rubber Liner Section DN150 METSO
000000000010000525,EN,Skirt Rubber Liner Section 6/4 SIEMENS
000000000090000029,EN,Flow Meter Sensor Head TYPE B ABB
000000000080000112,EN,Pump Impeller 250MM WEIR
000000000010000526,EN,Ball Mill Shell Liner Plate TYPE B METSO
000000000010000527,EN,Level Radar Transmitter 150MM SIEMENS
000000000010000528,EN,Thickener Rake Drive Gearbox DN100 SKF
000000000010000529,EN,Crusher Hydroset Cylinder 250KW SANDVIK
000000000080000113,EN,MCC Feeder Circuit Breaker 10/8 ABB
000000000010000530,EN,Flow Meter Sensor Head DN150 ABB
000000000010000531,EN,Conveyor Pulley Bearing 150MM FLSM
000000000080000114,EN,Level Radar Transmitter 55KW SIEMENS
000000000010000532,EN,Slurry Pump Mechanical Seal 6/4 WEIR
000000000030000110,EN,Ball Mill Gearbox Assembly 110KW WEIR
000000000010000533,EN,Ventilation Fan Motor 8/6 FLSM
000000000010000534,EN,Mill Liner 250KW SEW
000000000010000535,EN,Valve Assembly 10/8 SIEMENS
000000000010000536,EN,Conveyor Pulley Bearing 250MM SIEMENS
000000000010000537,EN,Flotation Cell Impeller DN150 SANDVIK
000000000080000115,EN,Cyclone Apex Liner 6/4 SKF
000000000010000538,EN,Mill Liner DN150 SKF
000000000090000030,EN,Belt Scraper Blade Cartridge 55KW SEW
000000000010000539,EN,Hydraulic Pump Assembly TYPE B FLSM
000000000010000540,EN,Conveyor Idler Roller Set 150MM KSB
000000000030000111,EN,MCC Feeder Circuit Breaker TYPE B WEIR
000000000010000541,EN,Gearbox Bearing TYPE B KSB
000000000030000112,EN,Skirt Rubber Liner Section 200MM SANDVIK
000000000080000116,EN,Slurry Pump Wet End Assembly 250MM
000000000010000542,EN,Vertical Sump Pump Column 150MM SIEMENS
000000000030000113,EN,Soft Starter Power Module 6/4 SEW
000000000030000114,EN,Belt Scraper Blade Cartridge 250KW KSB
000000000010000543,EN,PLC Digital Output Card TYPE B ABB
000000000080000117,EN,Flotation Blower Motor HD SIEMENS
000000000010000544,EN,Slurry Pump Mechanical Seal 200MM METSO
000000000030000115,EN,Cyclone Apex Liner 10/8 ABB
000000000030000116,EN,Gland Packing Seal Ring DN100 SANDVIK
000000000010000545,EN,Gland Packing Seal Ring 8/6 SIEMENS
000000000010000546,EN,Gearbox Bearing 6/4 WEIR
000000000010000547,EN,Slurry Pump Wet End Assembly 10/8
000000000010000548,EN,Gland Packing Seal Ring HD SEW
000000000080000118,EN,Soft Starter Power Module DN150 SANDVIK
000000000010000549,EN,Gearbox Bearing 110KW FLSM
000000000010000550,EN,Centrifugal Pump Casing HD SANDVIK
000000000030000117,EN,Crusher Hydroset Cylinder 6/4 SANDVIK
000000000010000551,EN,Slurry Pump Wet End Assembly 250MM KSB
000000000010000552,EN,Pump Impeller 6/4 ABB
000000000010000553,EN,Skirt Rubber Liner Section DN100 WEIR
000000000030000118,EN,Soft Starter Power Module 6/4 SANDVIK
000000000010000554,EN,Mill Lube Pump Motor 250MM MULTOTEC
000000000030000119,EN,Hydraulic Power Pack TYPE A KSB
000000000030000120,EN,Centrifugal Pump Casing 150MM ABB
000000000010000555,EN,Mill Lube Pump Motor 55KW SIEMENS
000000000010000556,EN,Flotation Blower Motor DN100 SKF
000000000080000119,EN,Gland Packing Seal Ring 250MM SKF
000000000010000557,EN,Vertical Sump Pump Column DN100 MULTOTEC
000000000030000121,EN,Crusher Main Shaft Bearing 150MM METSO
000000000010000558,EN,Centrifugal Pump Casing DN100 METSO
000000000010000559,EN,Vertical Sump Pump Column DN100 SANDVIK
000000000080000120,EN,Soft Starter Power Module DN100 SANDVIK
000000000030000122,EN,Soft Starter Power Module 250KW ABB
000000000080000121,EN,Mill Lube Pump Motor TYPE B METSO
000000000010000560,EN,Conveyor Drive Motor HD WEIR
000000000080000122,EN,PLC Digital Output Card 150MM MULTOTEC
000000000010000561,EN,Thickener Rake Drive Gearbox TYPE A ABB
000000000090000031,EN,Belt Scraper Blade Cartridge 250MM
000000000030000123,EN,Centrifugal Pump Casing 250KW SIEMENS
000000000010000562,EN,MCC Feeder Circuit Breaker TYPE A WEIR
000000000080000123,EN,Ball Mill Trunnion Bearing DN150
000000000030000124,EN,Belt Scraper Blade Cartridge 8/6 WEIR
000000000010000563,EN,PLC Digital Output Card 6/4 SANDVIK
000000000080000124,EN,Slurry Pump Mechanical Seal TYPE B SEW
000000000080000125,EN,Conveyor Drive Gearbox 8/6 METSO
000000000010000564,EN,Flotation Cell Impeller 10/8 KSB
000000000010000565,EN,Soft Starter Power Module 8/6 SEW
000000000080000126,EN,Flow Meter Sensor Head TYPE A SKF
000000000080000127,EN,Slurry Density Transmitter 8/6 SIEMENS
000000000010000566,EN,Mill Lube Pump Motor DN150 KSB
000000000080000128,EN,Skirt Rubber Liner Section 150MM SKF
000000000010000567,EN,Level Radar Transmitter TYPE B METSO
000000000010000568,EN,Crusher Main Shaft Bearing HD ABB
000000000080000129,EN,Ventilation Fan Motor 150MM SEW
000000000010000569,EN,Ball Mill Shell Liner Plate 6/4 SANDVIK
000000000010000570,EN,Slurry Pump Wet End Assembly 6/4 FLSM
000000000010000571,EN,Apron Feeder Gear Reducer 55KW SEW
000000000010000572,EN,Slurry Pump Mechanical Seal DN100 METSO
000000000010000573,EN,Skirt Rubber Liner Section DN100 SKF
000000000010000574,EN,Ventilation Fan Motor 110KW KSB
000000000010000575,EN,Screen Exciter Bearing TYPE A KSB
000000000010000576,EN,Pump Impeller 150MM FLSM
000000000030000125,EN,Slurry Pump Wet End Assembly 8/6
000000000010000577,EN,Ball Mill Trunnion Bearing 10/8 SIEMENS
000000000080000130,EN,PLC Digital Output Card TYPE A SKF
000000000010000578,EN,Agitator Shaft Seal HD MULTOTEC
000000000010000579,EN,MCC Feeder Circuit Breaker 110KW SKF
000000000010000580,EN,Belt Scraper Blade Cartridge 200MM
000000000030000126,EN,Crusher Hydroset Cylinder TYPE B FLSM
000000000010000581,EN,Cyclone Apex Liner TYPE B METSO
000000000010000582,EN,Vertical Sump Pump Column 250MM METSO
000000000010000583,EN,Thickener Rake Drive Gearbox DN150 KSB
000000000010000584,EN,Apron Feeder Gear Reducer 10/8 SEW
000000000010000585,EN,Hydraulic Power Pack 6/4 SEW
000000000010000586,EN,Gearbox Bearing 110KW KSB
000000000030000127,EN,Ball Mill Trunnion Bearing 110KW KSB
000000000080000131,EN,Spherical Roller Bearing HD KSB
000000000010000587,EN,Screen Exciter Bearing TYPE A SEW
000000000090000032,EN,PLC Digital Output Card 250MM METSO
000000000010000588,EN,Valve Assembly TYPE B SANDVIK
000000000080000132,EN,Conveyor Pulley Bearing 10/8 MULTOTEC
000000000010000589,EN,Gearbox Bearing TYPE A WEIR
000000000010000590,EN,Mill Lube Pump Motor 150MM SANDVIK
000000000030000128,EN,Mill Lube Pump Motor 8/6 MULTOTEC
000000000030000129,EN,Pump Impeller TYPE A WEIR
000000000010000591,EN,MCC Feeder Circuit Breaker 10/8 SKF
000000000010000592,EN,MCC Feeder Circuit Breaker 55KW MULTOTEC
000000000080000133,EN,Spherical Roller Bearing 150MM SIEMENS
000000000010000593,EN,Conveyor Pulley Bearing DN150 SKF
000000000010000594,EN,Vertical Sump Pump Column 10/8 MULTOTEC
000000000030000130,EN,Pump Impeller 200MM SIEMENS
000000000030000131,EN,Pump Impeller 8/6 KSB
000000000010000595,EN,Mill Lube Pump Motor HD KSB
