Werks,Lgort,Matnr,Dispo,Mtart,Matkl,Dismm,Mbwbest,Wbwbest,Letztzug,Letztabg,Letztver,Letztbew,Eisbe
3000,SP03,000000000010000177,005,ERSA,MILL-LINR,VB,3.000,283633.92,2026-06-22T00:00:00,2026-04-27T00:00:00,2026-04-27T00:00:00,2026-06-22T00:00:00,1.005
3000,SP03,000000000010000178,009,ERSA,ELEC-CTRL,VB,0.000,0.00,2025-03-05T00:00:00,2026-06-20T00:00:00,2026-06-20T00:00:00,2026-06-20T00:00:00,1.384
3000,SP03,000000000030000030,001,HIBE,HYDR-ASSY,PD,7.000,149734.34,2026-09-01T00:00:00,,,2026-09-01T00:00:00,0.000
4000,SP04,000000000030000030,005,HIBE,HYDR-ASSY,PD,0.000,0.00,,,,,0.000
3000,SP03,000000000010000179,002,ERSA,ELEC-MOTR,VB,0.000,0.00,,2024-09-12T00:00:00,2024-09-12T00:00:00,2024-09-12T00:00:00,0.000
1000,SP01,000000000010000180,010,ERSA,MILL-LINR,VB,5.000,773711.50,2026-05-05T00:00:00,2026-08-19T00:00:00,2026-08-19T00:00:00,2026-08-19T00:00:00,2.969
4000,SP04,000000000010000180,005,ERSA,MILL-LINR,VB,5.000,773711.50,2026-07-03T00:00:00,2026-07-03T00:00:00,2026-07-03T00:00:00,2026-07-03T00:00:00,1.241
2000,SP02,000000000010000181,005,ERSA,MECH-BRG,VB,4.000,427566.96,,2026-07-30T00:00:00,2026-07-30T00:00:00,2026-07-30T00:00:00,2.898
3000,SP03,000000000010000182,005,ERSA,MECH-SEAL,VB,0.000,0.00,2026-04-02T00:00:00,2026-07-09T00:00:00,2026-07-09T00:00:00,2026-07-09T00:00:00,6.377
1000,SP01,000000000010000183,005,HIBE,INST-XMTR,VB,27.000,2778876.45,2026-07-29T00:00:00,2026-06-12T00:00:00,2026-06-12T00:00:00,2026-07-29T00:00:00,7.868
2000,SP02,000000000010000183,007,HIBE,INST-XMTR,VB,7.000,720449.45,2026-04-07T00:00:00,2026-08-17T00:00:00,2026-08-17T00:00:00,2026-08-17T00:00:00,4.259
1000,SP01,000000000010000184,005,HIBE,MECH-BRG,VB,254.000,655365.72,2026-07-02T00:00:00,2026-08-28T00:00:00,2026-08-28T00:00:00,2026-08-28T00:00:00,35.093
3000,SP03,000000000010000185,004,ERSA,MECH-GBOX,VB,3.000,91682.88,2026-01-15T00:00:00,2025-11-23T00:00:00,2025-11-23T00:00:00,2026-01-15T00:00:00,1.065
4000,SP04,000000000010000186,007,ERSA,HYDR-ASSY,VB,0.000,0.00,,2023-10-04T00:00:00,2023-10-04T00:00:00,2023-10-04T00:00:00,0.000
3000,SP03,000000000010000187,009,ERSA,MECH-PUMP,VB,443.000,10947730.53,2026-09-07T00:00:00,2026-09-01T00:00:00,2026-09-01T00:00:00,2026-09-07T00:00:00,40.851
2000,SP02,000000000010000188,001,ERSA,ELEC-CTRL,VB,113.000,2349264.35,2026-08-20T00:00:00,2026-07-12T00:00:00,2026-07-12T00:00:00,2026-08-20T00:00:00,15.361
2000,SP02,000000000010000189,002,HIBE,MILL-LINR,VB,0.000,0.00,,2024-09-19T00:00:00,2024-09-19T00:00:00,2024-09-19T00:00:00,5.651
1000,SP01,000000000010000189,006,HIBE,MILL-LINR,VB,0.000,0.00,,2025-05-24T00:00:00,2025-05-24T00:00:00,2025-05-24T00:00:00,6.994
3000,SP03,000000000010000190,009,ERSA,MECH-GBOX,VB,22.000,514092.26,2026-06-16T00:00:00,2026-09-03T00:00:00,2026-09-03T00:00:00,2026-09-03T00:00:00,2.688
2000,SP02,000000000010000190,005,ERSA,MECH-GBOX,VB,0.000,0.00,2026-03-13T00:00:00,2026-08-01T00:00:00,2026-08-01T00:00:00,2026-08-01T00:00:00,6.695
4000,SP04,000000000010000191,001,ERSA,HYDR-ASSY,VB,48.000,409520.64,2026-08-10T00:00:00,2026-09-05T00:00:00,2026-09-05T00:00:00,2026-09-05T00:00:00,12.520
1000,SP01,000000000010000191,003,ERSA,HYDR-ASSY,VB,2.000,17063.36,2026-02-24T00:00:00,2026-08-01T00:00:00,2026-08-01T00:00:00,2026-08-01T00:00:00,6.680
1000,SP01,000000000080000040,007,ERSA,INST-XMTR,VB,19.000,6068151.03,2026-04-27T00:00:00,2026-08-02T00:00:00,2026-08-02T00:00:00,2026-08-02T00:00:00,6.555
3000,SP03,000000000010000192,010,HIBE,MECH-PUMP,VB,9.000,365119.29,2026-04-17T00:00:00,2026-07-23T00:00:00,2026-07-23T00:00:00,2026-07-23T00:00:00,6.689
4000,SP04,000000000010000192,002,HIBE,MECH-PUMP,VB,17.000,689669.77,2026-05-13T00:00:00,2026-03-18T00:00:00,2026-03-18T00:00:00,2026-05-13T00:00:00,3.020
3000,SP03,000000000010000193,007,ERSA,ELEC-MOTR,VB,22.000,545792.50,2026-03-16T00:00:00,2026-08-02T00:00:00,2026-08-02T00:00:00,2026-08-02T00:00:00,11.944
1000,SP01,000000000080000041,003,ERSA,MECH-PUMP,VB,4.000,140422.76,2026-03-19T00:00:00,2026-06-14T00:00:00,2026-06-14T00:00:00,2026-06-14T00:00:00,1.244
4000,SP04,000000000080000041,008,ERSA,MECH-PUMP,VB,8.000,280845.52,2026-07-21T00:00:00,2026-06-12T00:00:00,2026-06-12T00:00:00,2026-07-21T00:00:00,3.896
1000,SP01,000000000090000006,002,ERSA,ELEC-CTRL,ND,16.000,102031.04,,2025-02-18T00:00:00,2025-02-18T00:00:00,2025-02-18T00:00:00,0.000
1000,SP01,000000000080000042,008,ERSA,MECH-SEAL,VB,8.000,2868882.32,2026-07-20T00:00:00,2026-07-02T00:00:00,2026-07-02T00:00:00,2026-07-20T00:00:00,1.913
1000,SP01,000000000010000194,007,ERSA,INST-XMTR,VB,6.000,677730.42,2026-02-22T00:00:00,2026-07-04T00:00:00,2026-07-04T00:00:00,2026-07-04T00:00:00,1.901
4000,SP04,000000000010000194,003,ERSA,INST-XMTR,VB,9.000,1016595.63,2025-10-16T00:00:00,2026-07-24T00:00:00,2026-07-24T00:00:00,2026-07-24T00:00:00,4.174
3000,SP03,000000000030000031,001,ERSA,ELEC-CTRL,ND,4.000,152112.88,2026-01-29T00:00:00,,,2026-01-29T00:00:00,0.000
4000,SP04,000000000080000043,009,ERSA,MECH-BRG,VB,5.000,1281941.95,2026-07-20T00:00:00,2026-08-05T00:00:00,2026-08-05T00:00:00,2026-08-05T00:00:00,1.281
1000,SP01,000000000080000044,004,ERSA,MECH-BRG,VB,12.000,2486515.68,2026-06-08T00:00:00,2026-08-25T00:00:00,2026-08-25T00:00:00,2026-08-25T00:00:00,1.244
1000,SP01,000000000010000195,008,ERSA,MILL-LINR,VB,1.000,116656.70,2025-09-20T00:00:00,2025-08-21T00:00:00,2025-08-21T00:00:00,2025-09-20T00:00:00,0.466
2000,SP02,000000000010000196,005,ERSA,ELEC-CTRL,VB,8.000,483745.20,2026-05-09T00:00:00,2026-04-29T00:00:00,2026-04-29T00:00:00,2026-05-09T00:00:00,2.706
2000,SP02,000000000090000007,002,ERSA,MECH-SEAL,ND,20.000,1579909.20,,2024-02-06T00:00:00,2024-02-06T00:00:00,2024-02-06T00:00:00,0.000
2000,SP02,000000000010000197,002,ERSA,ELEC-CTRL,VB,0.000,0.00,,2024-11-17T00:00:00,2024-11-17T00:00:00,2024-11-17T00:00:00,11.884
1000,SP01,000000000010000197,003,ERSA,ELEC-CTRL,VB,0.000,0.00,,2024-09-21T00:00:00,2024-09-21T00:00:00,2024-09-21T00:00:00,10.138
2000,SP02,000000000030000032,009,ERSA,ELEC-MOTR,PD,4.000,401474.28,2026-03-02T00:00:00,,,2026-03-02T00:00:00,0.000
4000,SP04,000000000030000032,004,ERSA,ELEC-MOTR,PD,0.000,0.00,2026-04-21T00:00:00,2026-04-28T00:00:00,2026-04-28T00:00:00,2026-04-28T00:00:00,0.000
4000,SP04,000000000080000045,010,ERSA,MILL-LINR,VB,3.000,97612.47,2026-02-10T00:00:00,2026-09-06T00:00:00,2026-09-06T00:00:00,2026-09-06T00:00:00,1.651
2000,SP02,000000000010000198,002,HIBE,INST-XMTR,VB,3.000,72441.06,2026-05-07T00:00:00,2026-06-01T00:00:00,2026-06-01T00:00:00,2026-06-01T00:00:00,0.466
2000,SP02,000000000030000033,007,HIBE,CONV-COMP,PD,0.000,0.00,2026-03-27T00:00:00,2026-05-21T00:00:00,2026-05-21T00:00:00,2026-05-21T00:00:00,0.000
4000,SP04,000000000080000046,008,ERSA,MECH-GBOX,VB,3.000,162692.97,2026-05-06T00:00:00,2026-07-19T00:00:00,2026-07-19T00:00:00,2026-07-19T00:00:00,2.800
3000,SP03,000000000010000199,006,ERSA,ELEC-CTRL,VB,0.000,0.00,,2024-09-28T00:00:00,2024-09-28T00:00:00,2024-09-28T00:00:00,4.316
2000,SP02,000000000080000047,006,ERSA,MILL-LINR,VB,11.000,2980272.46,2026-06-25T00:00:00,2026-06-30T00:00:00,2026-06-30T00:00:00,2026-06-30T00:00:00,4.018
4000,SP04,000000000010000200,008,ERSA,CONV-COMP,VB,0.000,0.00,,2024-10-12T00:00:00,2024-10-12T00:00:00,2024-10-12T00:00:00,0.000
3000,SP03,000000000010000201,002,ERSA,CONV-COMP,VB,2.000,5272.44,2026-02-21T00:00:00,2025-12-28T00:00:00,2025-12-28T00:00:00,2026-02-21T00:00:00,0.656
1000,SP01,000000000030000034,002,ERSA,ELEC-CTRL,ND,0.000,0.00,2026-07-25T00:00:00,2026-07-26T00:00:00,2026-07-26T00:00:00,2026-07-26T00:00:00,0.000
2000,SP02,000000000010000202,008,ERSA,INST-XMTR,VB,12.000,1197511.44,2025-11-07T00:00:00,2026-05-22T00:00:00,2026-05-22T00:00:00,2026-05-22T00:00:00,6.370
2000,SP02,000000000010000203,003,ERSA,INST-XMTR,VB,0.000,0.00,,2025-01-14T00:00:00,2025-01-14T00:00:00,2025-01-14T00:00:00,0.000
4000,SP04,000000000030000035,003,ERSA,MECH-BRG,ND,5.000,244290.55,2026-07-17T00:00:00,2026-08-28T00:00:00,2026-08-28T00:00:00,2026-08-28T00:00:00,0.000
1000,SP01,000000000030000036,001,ERSA,INST-XMTR,ND,1.000,36992.85,2026-03-20T00:00:00,2026-04-17T00:00:00,2026-04-17T00:00:00,2026-04-17T00:00:00,0.000
3000,SP03,000000000010000204,010,ERSA,ELEC-CTRL,VB,2.000,235273.66,2026-06-02T00:00:00,2026-04-24T00:00:00,2026-04-24T00:00:00,2026-06-02T00:00:00,0.623
1000,SP01,000000000010000204,002,ERSA,ELEC-CTRL,VB,1.000,117636.83,2026-05-17T00:00:00,2026-08-30T00:00:00,2026-08-30T00:00:00,2026-08-30T00:00:00,1.412
1000,SP01,000000000010000205,001,ERSA,MECH-PUMP,VB,0.000,0.00,,2024-03-10T00:00:00,2024-03-10T00:00:00,2024-03-10T00:00:00,0.000
3000,SP03,000000000080000048,004,ERSA,HYDR-ASSY,VB,4.000,1616033.16,2026-07-28T00:00:00,2026-07-08T00:00:00,2026-07-08T00:00:00,2026-07-28T00:00:00,2.114
4000,SP04,000000000030000037,001,ERSA,ELEC-MOTR,ND,0.000,0.00,2026-05-05T00:00:00,2026-06-20T00:00:00,2026-06-20T00:00:00,2026-06-20T00:00:00,0.000
1000,SP01,000000000030000037,007,ERSA,ELEC-MOTR,PD,0.000,0.00,2026-06-02T00:00:00,2026-06-25T00:00:00,2026-06-25T00:00:00,2026-06-25T00:00:00,0.000
3000,SP03,000000000010000206,005,ERSA,HYDR-ASSY,VB,78.000,1858576.20,2026-06-02T00:00:00,2026-08-29T00:00:00,2026-08-29T00:00:00,2026-08-29T00:00:00,21.419
3000,SP03,000000000010000207,002,ERSA,INST-XMTR,VB,6.000,1039858.08,2026-08-19T00:00:00,2026-06-08T00:00:00,2026-06-08T00:00:00,2026-08-19T00:00:00,2.554
4000,SP04,000000000030000038,010,ERSA,INST-XMTR,PD,1.000,162830.37,2026-07-08T00:00:00,2026-08-13T00:00:00,2026-08-13T00:00:00,2026-08-13T00:00:00,0.000
2000,SP02,000000000010000208,004,ERSA,ELEC-MOTR,VB,2.000,203217.44,2026-09-04T00:00:00,2026-06-01T00:00:00,2026-06-01T00:00:00,2026-09-04T00:00:00,0.793
1000,SP01,000000000090000008,009,ERSA,MECH-GBOX,ND,37.000,3193366.40,,2023-10-16T00:00:00,2023-10-16T00:00:00,2023-10-16T00:00:00,0.000
2000,SP02,000000000010000209,007,ERSA,MECH-BRG,VB,0.000,0.00,,2023-04-04T00:00:00,2023-04-04T00:00:00,2023-04-04T00:00:00,0.000
1000,SP01,000000000030000039,002,ERSA,CONV-COMP,ND,6.000,286059.00,2026-07-05T00:00:00,2026-07-02T00:00:00,2026-07-02T00:00:00,2026-07-05T00:00:00,0.000
4000,SP04,000000000010000210,007,ERSA,CONV-COMP,VB,93.000,288365.10,2026-08-21T00:00:00,2026-08-26T00:00:00,2026-08-26T00:00:00,2026-08-26T00:00:00,5.742
1000,SP01,000000000010000210,010,ERSA,CONV-COMP,VB,62.000,192243.40,2026-08-09T00:00:00,2026-08-02T00:00:00,2026-08-02T00:00:00,2026-08-09T00:00:00,5.564
4000,SP04,000000000080000049,007,ERSA,MECH-BRG,VB,10.000,709181.40,2026-08-20T00:00:00,2026-05-26T00:00:00,2026-05-26T00:00:00,2026-08-20T00:00:00,1.077
4000,SP04,000000000010000211,003,ERSA,HYDR-ASSY,VB,20.000,757890.60,2026-06-13T00:00:00,2026-07-02T00:00:00,2026-07-02T00:00:00,2026-07-02T00:00:00,10.324
2000,SP02,000000000080000050,007,ERSA,CONV-COMP,VB,5.000,2121182.70,2026-05-18T00:00:00,2026-07-25T00:00:00,2026-07-25T00:00:00,2026-07-25T00:00:00,2.514
2000,SP02,000000000010000212,008,HIBE,MECH-SEAL,VB,0.000,0.00,,2025-02-12T00:00:00,2025-02-12T00:00:00,2025-02-12T00:00:00,9.929
3000,SP03,000000000010000212,001,HIBE,MECH-SEAL,VB,0.000,0.00,,2025-01-20T00:00:00,2025-01-20T00:00:00,2025-01-20T00:00:00,6.733
4000,SP04,000000000010000213,001,ERSA,HYDR-ASSY,VB,5.000,2617671.60,2025-07-01T00:00:00,2026-04-14T00:00:00,2026-04-14T00:00:00,2026-04-14T00:00:00,1.395
4000,SP04,000000000080000051,009,ERSA,MECH-BRG,VB,7.000,1910862.17,2026-06-17T00:00:00,2026-08-06T00:00:00,2026-08-06T00:00:00,2026-08-06T00:00:00,4.508
4000,SP04,000000000010000214,002,ERSA,CONV-COMP,VB,3.000,321174.30,2026-06-29T00:00:00,2026-05-03T00:00:00,2026-05-03T00:00:00,2026-06-29T00:00:00,1.835
4000,SP04,000000000010000215,010,ERSA,HYDR-ASSY,VB,2.000,243251.82,2026-08-20T00:00:00,2026-08-26T00:00:00,2026-08-26T00:00:00,2026-08-26T00:00:00,1.579
4000,SP04,000000000010000216,001,ERSA,HYDR-ASSY,VB,127.000,3020160.33,2026-08-04T00:00:00,2026-09-02T00:00:00,2026-09-02T00:00:00,2026-09-02T00:00:00,69.389
1000,SP01,000000000090000009,008,ERSA,INST-XMTR,ND,31.000,650798.50,,2024-04-25T00:00:00,2024-04-25T00:00:00,2024-04-25T00:00:00,0.000
1000,SP01,000000000010000217,004,ERSA,MECH-BRG,VB,22.000,12328009.54,2026-09-02T00:00:00,2026-06-19T00:00:00,2026-06-19T00:00:00,2026-09-02T00:00:00,7.130
4000,SP04,000000000010000218,004,HIBE,MILL-LINR,VB,2.000,24589.74,,2026-06-18T00:00:00,2026-06-18T00:00:00,2026-06-18T00:00:00,1.107
2000,SP02,000000000010000219,006,ERSA,MILL-LINR,VB,0.000,0.00,2026-03-17T00:00:00,2026-08-06T00:00:00,2026-08-06T00:00:00,2026-08-06T00:00:00,1.081
3000,SP03,000000000080000052,004,ERSA,MECH-BRG,VB,4.000,629552.96,2026-01-19T00:00:00,2026-08-17T00:00:00,2026-08-17T00:00:00,2026-08-17T00:00:00,3.165
1000,SP01,000000000080000053,007,HIBE,INST-XMTR,VB,6.000,2055110.34,2026-08-19T00:00:00,2026-08-30T00:00:00,2026-08-30T00:00:00,2026-08-30T00:00:00,2.962
2000,SP02,000000000080000054,003,ERSA,MECH-PUMP,VB,6.000,1621851.42,2026-06-05T00:00:00,2026-05-17T00:00:00,2026-05-17T00:00:00,2026-06-05T00:00:00,1.500
4000,SP04,000000000080000054,002,ERSA,MECH-PUMP,VB,1.000,270308.57,2026-06-12T00:00:00,2026-07-30T00:00:00,2026-07-30T00:00:00,2026-07-30T00:00:00,0.808
1000,SP01,000000000010000220,002,ERSA,ELEC-CTRL,VB,5.000,532773.10,2026-03-12T00:00:00,2026-07-17T00:00:00,2026-07-17T00:00:00,2026-07-17T00:00:00,1.321
1000,SP01,000000000090000010,003,ERSA,MECH-GBOX,ND,29.000,611394.24,,2025-07-08T00:00:00,2025-07-08T00:00:00,2025-07-08T00:00:00,0.000
3000,SP03,000000000090000011,009,ERSA,ELEC-MOTR,ND,12.000,1553684.40,,2024-11-09T00:00:00,2024-11-09T00:00:00,2024-11-09T00:00:00,0.000
4000,SP04,000000000090000011,005,ERSA,ELEC-MOTR,ND,36.000,4661053.20,,2023-04-23T00:00:00,2023-04-23T00:00:00,2023-04-23T00:00:00,0.000
1000,SP01,000000000030000040,007,ERSA,MECH-BRG,ND,6.000,501230.40,2026-08-12T00:00:00,2025-12-22T00:00:00,2025-12-22T00:00:00,2026-08-12T00:00:00,0.000
3000,SP03,000000000030000040,009,ERSA,MECH-BRG,VB,24.000,2004921.60,2026-07-15T00:00:00,2026-07-06T00:00:00,2026-07-06T00:00:00,2026-07-15T00:00:00,14.416
2000,SP02,000000000030000041,006,ERSA,HYDR-ASSY,PD,2.000,256904.04,2026-07-05T00:00:00,,,2026-07-05T00:00:00,0.000
1000,SP01,000000000090000012,003,HIBE,HYDR-ASSY,ND,20.000,1433108.00,,2024-01-07T00:00:00,2024-01-07T00:00:00,2024-01-07T00:00:00,0.000
2000,SP02,000000000010000221,002,HIBE,MECH-BRG,VB,13.000,9671607.14,2026-08-18T00:00:00,2026-08-11T00:00:00,2026-08-11T00:00:00,2026-08-18T00:00:00,7.230
3000,SP03,000000000080000055,009,ERSA,MECH-PUMP,VB,4.000,1655778.40,2026-06-11T00:00:00,2026-08-01T00:00:00,2026-08-01T00:00:00,2026-08-01T00:00:00,1.278
2000,SP02,000000000010000222,004,ERSA,MILL-LINR,VB,0.000,0.00,,2024-11-24T00:00:00,2024-11-24T00:00:00,2024-11-24T00:00:00,0.000
1000,SP01,000000000010000223,004,ERSA,MECH-PUMP,VB,1.000,112604.54,,2026-05-27T00:00:00,2026-05-27T00:00:00,2026-05-27T00:00:00,0.658
4000,SP04,000000000010000224,006,ERSA,MILL-LINR,VB,9.000,1471234.86,2026-04-27T00:00:00,2026-02-28T00:00:00,2026-02-28T00:00:00,2026-04-27T00:00:00,3.549
2000,SP02,000000000010000225,008,ERSA,MECH-GBOX,VB,70.000,1611061.90,2026-08-06T00:00:00,2026-06-25T00:00:00,2026-06-25T00:00:00,2026-08-06T00:00:00,5.092
4000,SP04,000000000010000226,007,ERSA,ELEC-CTRL,VB,77.000,255178.77,2026-03-30T00:00:00,2026-08-28T00:00:00,2026-08-28T00:00:00,2026-08-28T00:00:00,4.628
1000,SP01,000000000010000226,008,ERSA,ELEC-CTRL,VB,41.000,135874.41,2026-07-13T00:00:00,2026-08-23T00:00:00,2026-08-23T00:00:00,2026-08-23T00:00:00,14.144
4000,SP04,000000000010000227,005,ERSA,CONV-COMP,VB,0.000,0.00,2026-06-09T00:00:00,2026-09-02T00:00:00,2026-09-02T00:00:00,2026-09-02T00:00:00,0.246
4000,SP04,000000000030000042,005,ERSA,ELEC-MOTR,PD,0.000,0.00,2026-07-02T00:00:00,2026-08-03T00:00:00,2026-08-03T00:00:00,2026-08-03T00:00:00,0.000
3000,SP03,000000000080000056,004,HIBE,INST-XMTR,VB,10.000,1891925.00,2026-08-15T00:00:00,2026-07-06T00:00:00,2026-07-06T00:00:00,2026-08-15T00:00:00,5.383
3000,SP03,000000000090000013,006,HIBE,INST-XMTR,ND,12.000,389288.04,,2023-04-11T00:00:00,2023-04-11T00:00:00,2023-04-11T00:00:00,0.000
1000,SP01,000000000080000057,003,ERSA,MECH-PUMP,VB,14.000,1954388.80,2026-08-17T00:00:00,2026-09-03T00:00:00,2026-09-03T00:00:00,2026-09-03T00:00:00,5.803
4000,SP04,000000000010000228,004,ERSA,MECH-GBOX,VB,25.000,171213.50,2026-06-28T00:00:00,2026-09-07T00:00:00,2026-09-07T00:00:00,2026-09-07T00:00:00,7.623
2000,SP02,000000000080000058,005,ERSA,MECH-PUMP,VB,4.000,752250.72,2026-08-31T00:00:00,2026-07-20T00:00:00,2026-07-20T00:00:00,2026-08-31T00:00:00,3.111
2000,SP02,000000000010000229,008,HIBE,MILL-LINR,VB,263.000,159390931.71,2026-06-02T00:00:00,2026-08-18T00:00:00,2026-08-18T00:00:00,2026-08-18T00:00:00,32.627
3000,SP03,000000000010000229,009,HIBE,MILL-LINR,VB,32.000,19393573.44,2026-03-16T00:00:00,2026-08-17T00:00:00,2026-08-17T00:00:00,2026-08-17T00:00:00,18.995
3000,SP03,000000000030000043,001,ERSA,MECH-SEAL,PD,3.000,375915.27,2026-06-15T00:00:00,,,2026-06-15T00:00:00,0.000
3000,SP03,000000000030000044,004,ERSA,MECH-BRG,PD,0.000,0.00,2026-07-14T00:00:00,2026-09-03T00:00:00,2026-09-03T00:00:00,2026-09-03T00:00:00,0.000
3000,SP03,000000000010000230,002,ERSA,MECH-PUMP,VB,5.000,343957.50,2026-04-12T00:00:00,2026-08-13T00:00:00,2026-08-13T00:00:00,2026-08-13T00:00:00,2.756
1000,SP01,000000000010000230,003,ERSA,MECH-PUMP,VB,9.000,619123.50,2026-07-02T00:00:00,2026-07-01T00:00:00,2026-07-01T00:00:00,2026-07-02T00:00:00,6.209
2000,SP02,000000000030000045,001,ERSA,HYDR-ASSY,ND,5.000,22768.65,2026-07-31T00:00:00,,,2026-07-31T00:00:00,0.000
2000,SP02,000000000010000231,008,HIBE,MECH-PUMP,VB,0.000,0.00,,2025-04-03T00:00:00,2025-04-03T00:00:00,2025-04-03T00:00:00,0.000
2000,SP02,000000000010000232,008,ERSA,CONV-COMP,VB,2.000,357480.80,2026-02-15T00:00:00,2026-08-10T00:00:00,2026-08-10T00:00:00,2026-08-10T00:00:00,2.112
2000,SP02,000000000010000233,002,HIBE,HYDR-ASSY,VB,17.000,1951813.01,2026-09-03T00:00:00,2026-05-31T00:00:00,2026-05-31T00:00:00,2026-09-03T00:00:00,2.653
2000,SP02,000000000010000234,009,ERSA,INST-XMTR,VB,6.000,301199.58,2026-06-04T00:00:00,2026-06-23T00:00:00,2026-06-23T00:00:00,2026-06-23T00:00:00,1.702
1000,SP01,000000000010000235,004,ERSA,INST-XMTR,VB,6.000,857591.04,2026-03-22T00:00:00,2026-07-10T00:00:00,2026-07-10T00:00:00,2026-07-10T00:00:00,1.687
3000,SP03,000000000030000046,006,HIBE,HYDR-ASSY,PD,10.000,377900.80,2026-07-15T00:00:00,,,2026-07-15T00:00:00,0.000
4000,SP04,000000000030000046,001,HIBE,HYDR-ASSY,ND,1.000,37790.08,2026-06-02T00:00:00,2026-01-14T00:00:00,2026-01-14T00:00:00,2026-06-02T00:00:00,0.000
4000,SP04,000000000010000236,005,ERSA,MECH-PUMP,VB,10.000,231014.50,2026-04-27T00:00:00,2026-08-22T00:00:00,2026-08-22T00:00:00,2026-08-22T00:00:00,16.068
1000,SP01,000000000030000047,002,ERSA,MECH-GBOX,ND,0.000,0.00,2026-04-22T00:00:00,2026-05-13T00:00:00,2026-05-13T00:00:00,2026-05-13T00:00:00,0.000
3000,SP03,000000000010000237,008,ERSA,MECH-GBOX,VB,0.000,0.00,,2023-06-14T00:00:00,2023-06-14T00:00:00,2023-06-14T00:00:00,0.000
3000,SP03,000000000010000238,005,ERSA,HYDR-ASSY,VB,6.000,593869.80,,2026-07-14T00:00:00,2026-07-14T00:00:00,2026-07-14T00:00:00,0.755
2000,SP02,000000000010000238,002,ERSA,HYDR-ASSY,VB,3.000,296934.90,,2025-10-04T00:00:00,2025-10-04T00:00:00,2025-10-04T00:00:00,1.037
4000,SP04,000000000030000048,010,HIBE,MILL-LINR,PD,8.000,391670.72,2026-03-08T00:00:00,,,2026-03-08T00:00:00,0.000
1000,SP01,000000000010000239,009,ERSA,ELEC-CTRL,VB,30.000,628575.60,2026-06-18T00:00:00,2026-08-30T00:00:00,2026-08-30T00:00:00,2026-08-30T00:00:00,6.720
4000,SP04,000000000010000239,002,ERSA,ELEC-CTRL,VB,134.000,2807637.68,2026-07-15T00:00:00,2026-09-02T00:00:00,2026-09-02T00:00:00,2026-09-02T00:00:00,13.120
4000,SP04,000000000010000240,002,ERSA,INST-XMTR,VB,35.000,8049585.25,2026-06-15T00:00:00,2026-06-24T00:00:00,2026-06-24T00:00:00,2026-06-24T00:00:00,6.169
1000,SP01,000000000010000241,005,ERSA,MECH-GBOX,VB,10.000,899105.30,2026-08-26T00:00:00,2026-03-29T00:00:00,2026-03-29T00:00:00,2026-08-26T00:00:00,2.702
2000,SP02,000000000010000242,006,ERSA,MECH-GBOX,VB,8.000,683007.60,2026-08-20T00:00:00,2026-05-27T00:00:00,2026-05-27T00:00:00,2026-08-20T00:00:00,1.547
1000,SP01,000000000010000242,003,ERSA,MECH-GBOX,VB,8.000,683007.60,2026-08-07T00:00:00,2026-09-01T00:00:00,2026-09-01T00:00:00,2026-09-01T00:00:00,3.669
2000,SP02,000000000030000049,009,ERSA,MECH-PUMP,ND,3.000,184010.94,2026-03-20T00:00:00,2026-05-17T00:00:00,2026-05-17T00:00:00,2026-05-17T00:00:00,0.000
2000,SP02,000000000010000243,005,HIBE,MECH-BRG,VB,0.000,0.00,2026-05-25T00:00:00,2026-07-29T00:00:00,2026-07-29T00:00:00,2026-07-29T00:00:00,0.505
1000,SP01,000000000090000014,010,ERSA,MECH-PUMP,ND,16.000,1566382.56,,2022-07-31T00:00:00,2022-07-31T00:00:00,2022-07-31T00:00:00,0.000
4000,SP04,000000000010000244,001,ERSA,HYDR-ASSY,VB,6.000,2711372.82,2026-02-11T00:00:00,2026-07-08T00:00:00,2026-07-08T00:00:00,2026-07-08T00:00:00,2.603
4000,SP04,000000000010000245,010,HIBE,MILL-LINR,VB,15.000,418861.65,2026-05-06T00:00:00,2026-05-30T00:00:00,2026-05-30T00:00:00,2026-05-30T00:00:00,7.280
3000,SP03,000000000010000245,005,HIBE,MILL-LINR,VB,10.000,279241.10,2026-02-22T00:00:00,2026-05-30T00:00:00,2026-05-30T00:00:00,2026-05-30T00:00:00,4.119
3000,SP03,000000000010000246,006,ERSA,MECH-GBOX,VB,65.000,679546.40,2026-06-01T00:00:00,2026-09-05T00:00:00,2026-09-05T00:00:00,2026-09-05T00:00:00,5.415
2000,SP02,000000000010000247,006,ERSA,ELEC-CTRL,VB,3.000,188948.04,2026-05-16T00:00:00,2026-08-13T00:00:00,2026-08-13T00:00:00,2026-08-13T00:00:00,1.845
4000,SP04,000000000010000248,008,HIBE,ELEC-CTRL,VB,1.000,130984.99,2026-06-23T00:00:00,2026-07-23T00:00:00,2026-07-23T00:00:00,2026-07-23T00:00:00,1.072
4000,SP04,000000000080000059,005,ERSA,HYDR-ASSY,VB,2.000,277413.28,2026-04-22T00:00:00,2026-08-30T00:00:00,2026-08-30T00:00:00,2026-08-30T00:00:00,2.391
3000,SP03,000000000030000050,003,ERSA,MECH-SEAL,PD,3.000,330692.67,2026-06-13T00:00:00,2026-03-03T00:00:00,2026-03-03T00:00:00,2026-06-13T00:00:00,0.000
