Objectclas,Objectid,Changenr,Username,Udate,Utime,Tcode
MATERIAL,000000000010000892,0001000284,VZIINV02,2026-06-10T00:00:00,14:25:00,MM02
MATERIAL,000000000010000893,0001000285,VZIINV02,2026-08-23T00:00:00,14:37:00,MM02
MATERIAL,000000000010000894,0001000286,VZIINV01,2026-09-07T00:00:00,15:08:00,MM02
MATERIAL,000000000080000205,0001000287,VZIINV02,2026-06-28T00:00:00,11:39:00,MM02
MATERIAL,000000000010000901,0001000288,VZIINV02,2026-07-11T00:00:00,15:26:00,MM02
MATERIAL,000000000030000205,0001000289,VZIINV01,2026-06-28T00:00:00,15:36:00,MM02
MATERIAL,000000000030000206,0001000290,VZIINV01,2026-08-05T00:00:00,07:03:00,MM02
MATERIAL,000000000010000904,0001000291,VZIINV01,2026-08-18T00:00:00,14:35:00,MM02
MATERIAL,000000000010000910,0001000292,VZIINV01,2026-06-18T00:00:00,14:35:00,MM02
MATERIAL,000000000010000910,0001000293,VZIINV01,2026-05-24T00:00:00,12:17:00,MM02
MATERIAL,000000000080000209,0001000294,VZIINV01,2026-08-24T00:00:00,08:46:00,MM02
MATERIAL,000000000010000914,0001000295,VZIINV01,2026-07-19T00:00:00,09:11:00,MM02
MATERIAL,000000000010000930,0001000296,VZIINV02,2026-08-15T00:00:00,11:41:00,MM02
MATERIAL,000000000010000933,0001000297,VZIINV01,2026-09-07T00:00:00,09:25:00,MM02
MATERIAL,000000000010000937,0001000298,VZIINV02,2026-08-21T00:00:00,08:04:00,MM02
MATERIAL,000000000080000212,0001000299,VZIINV02,2026-07-02T00:00:00,07:42:00,MM02
MATERIAL,000000000010000941,0001000300,VZIINV01,2026-06-22T00:00:00,11:37:00,MM02
MATERIAL,000000000010000947,0001000301,VZIINV02,2026-09-07T00:00:00,14:52:00,MM02
MATERIAL,000000000010000948,0001000302,VZIINV01,2026-08-06T00:00:00,07:50:00,MM02
MATERIAL,000000000010000951,0001000303,VZIINV02,2026-07-28T00:00:00,09:53:00,MM02
MATERIAL,000000000010000952,0001000304,VZIINV01,2026-08-20T00:00:00,15:12:00,MM02
MATERIAL,000000000080000214,0001000305,VZIINV02,2026-07-20T00:00:00,16:20:00,MM02
MATERIAL,000000000010000959,0001000306,VZIINV02,2026-06-25T00:00:00,14:02:00,MM02
MATERIAL,000000000030000222,0001000307,VZIINV01,2026-09-07T00:00:00,13:32:00,MM02
MATERIAL,000000000010000962,0001000308,VZIINV01,2026-08-12T00:00:00,10:53:00,MM02
MATERIAL,000000000010000963,0001000309,VZIINV02,2026-05-27T00:00:00,16:34:00,MM02
MATERIAL,000000000030000225,0001000310,VZIINV01,2026-08-02T00:00:00,11:56:00,MM02
MATERIAL,000000000010000968,0001000311,VZIINV01,2026-06-24T00:00:00,16:03:00,MM02
MATERIAL,000000000010000976,0001000312,VZIINV01,2026-08-07T00:00:00,10:08:00,MM02
MATERIAL,000000000010000979,0001000313,VZIINV02,2026-08-18T00:00:00,10:38:00,MM02
MATERIAL,000000000030000236,0001000314,VZIINV02,2026-07-20T00:00:00,16:06:00,MM02
MATERIAL,000000000030000237,0001000315,VZIINV01,2026-05-30T00:00:00,12:13:00,MM02
MATERIAL,000000000010000996,0001000316,VZIINV01,2026-07-08T00:00:00,12:07:00,MM02
MATERIAL,000000000010000997,0001000317,VZIINV01,2026-08-19T00:00:00,07:47:00,MM02
MATERIAL,000000000010000998,0001000318,VZIINV02,2026-08-20T00:00:00,07:53:00,MM02
MATERIAL,000000000010001000,0001000319,VZIINV01,2026-05-22T00:00:00,11:52:00,MM02
MATERIAL,000000000010001001,0001000320,VZIINV01,2026-06-16T00:00:00,17:06:00,MM02
MATERIAL,000000000010001002,0001000321,VZIINV02,2026-08-09T00:00:00,12:49:00,MM02
MATERIAL,000000000010001005,0001000322,VZIINV02,2026-06-29T00:00:00,10:00:00,MM02
MATERIAL,000000000010001006,0001000323,VZIINV01,2026-08-14T00:00:00,15:14:00,MM02
MATERIAL,000000000010001009,0001000324,VZIINV02,2026-05-24T00:00:00,13:02:00,MM02
MATERIAL,000000000010001010,0001000325,VZIINV02,2026-08-05T00:00:00,07:39:00,MM02
MATERIAL,000000000010001014,0001000326,VZIINV01,2026-06-12T00:00:00,08:37:00,MM02
MATERIAL,000000000010001022,0001000327,VZIINV02,2026-09-07T00:00:00,16:12:00,MM02
MATERIAL,000000000010001023,0001000328,VZIINV02,2026-08-01T00:00:00,10:31:00,MM02
MATERIAL,000000000010001026,0001000329,VZIINV01,2026-07-20T00:00:00,10:23:00,MM02
MATERIAL,000000000010001027,0001000330,VZIINV02,2026-05-14T00:00:00,12:53:00,MM02
MATERIAL,000000000010001028,0001000331,VZIINV01,2026-06-20T00:00:00,17:01:00,MM02
MATERIAL,000000000010001031,0001000332,VZIINV02,2026-08-17T00:00:00,09:55:00,MM02
MATERIAL,000000000010001033,0001000333,VZIINV01,2026-05-19T00:00:00,13:04:00,MM02
MATERIAL,000000000010001033,0001000334,VZIINV01,2026-06-21T00:00:00,10:45:00,MM02
MATERIAL,000000000010001036,0001000335,VZIINV02,2026-07-02T00:00:00,17:24:00,MM02
MATERIAL,000000000010001040,0001000336,VZIINV02,2026-07-10T00:00:00,08:38:00,MM02
MATERIAL,000000000080000227,0001000337,VZIINV01,2026-05-24T00:00:00,08:30:00,MM02
MATERIAL,000000000010001045,0001000338,VZIINV01,2026-08-28T00:00:00,13:21:00,MM02
MATERIAL,000000000010001050,0001000339,VZIINV02,2026-08-30T00:00:00,17:31:00,MM02
MATERIAL,000000000080000231,0001000340,VZIINV02,2026-08-30T00:00:00,10:30:00,MM02
MATERIAL,000000000010001061,0001000341,VZIINV01,2026-07-15T00:00:00,14:44:00,MM02
MATERIAL,000000000010001065,0001000342,VZIINV01,2026-08-16T00:00:00,07:21:00,MM02
MATERIAL,000000000010001074,0001000343,VZIINV02,2026-06-10T00:00:00,12:25:00,MM02
MATERIAL,000000000080000234,0001000344,VZIINV01,2026-07-29T00:00:00,15:59:00,MM02
MATERIAL,000000000010001081,0001000345,VZIINV02,2026-07-27T00:00:00,12:25:00,MM02
MATERIAL,000000000010001084,0001000346,VZIINV01,2026-08-26T00:00:00,08:34:00,MM02
MATERIAL,000000000010001087,0001000347,VZIINV02,2026-09-07T00:00:00,12:32:00,MM02
MATERIAL,000000000010001087,0001000348,VZIINV01,2026-08-03T00:00:00,08:39:00,MM02
MATERIAL,000000000010001091,0001000349,VZIINV01,2026-07-16T00:00:00,14:11:00,MM02
MATERIAL,000000000010001092,0001000350,VZIINV02,2026-05-31T00:00:00,15:35:00,MM02
MATERIAL,000000000010001096,0001000351,VZIINV02,2026-05-14T00:00:00,14:08:00,MM02
MATERIAL,000000000010001098,0001000352,VZIINV02,2026-09-05T00:00:00,12:57:00,MM02
MATERIAL,000000000010001099,0001000353,VZIINV01,2026-05-22T00:00:00,13:44:00,MM02
MATERIAL,000000000080000241,0001000354,VZIINV01,2026-07-28T00:00:00,09:03:00,MM02
MATERIAL,000000000010001107,0001000355,VZIINV01,2026-08-24T00:00:00,07:10:00,MM02
MATERIAL,000000000010001108,0001000356,VZIINV02,2026-05-18T00:00:00,14:48:00,MM02
MATERIAL,000000000010001113,0001000357,VZIINV02,2026-08-16T00:00:00,07:36:00,MM02
MATERIAL,000000000010001114,0001000358,VZIINV01,2026-07-19T00:00:00,09:12:00,MM02
MATERIAL,000000000010001116,0001000359,VZIINV01,2026-08-02T00:00:00,08:55:00,MM02
MATERIAL,000000000010001119,0001000360,VZIINV02,2026-08-02T00:00:00,17:41:00,MM02
MATERIAL,000000000010001121,0001000361,VZIINV02,2026-05-27T00:00:00,15:13:00,MM02
MATERIAL,000000000010001123,0001000362,VZIINV01,2026-09-07T00:00:00,13:19:00,MM02
MATERIAL,000000000010001134,0001000363,VZIINV02,2026-06-22T00:00:00,11:20:00,MM02
MATERIAL,000000000010001139,0001000364,VZIINV01,2026-07-21T00:00:00,14:33:00,MM02
MATERIAL,000000000010001140,0001000365,VZIINV02,2026-06-18T00:00:00,14:40:00,MM02
MATERIAL,000000000010001146,0001000366,VZIINV01,2026-06-07T00:00:00,07:45:00,MM02
MATERIAL,000000000010001146,0001000367,VZIINV01,2026-06-26T00:00:00,12:00:00,MM02
MATERIAL,000000000080000242,0001000368,VZIINV02,2026-06-01T00:00:00,08:10:00,MM02
MATERIAL,000000000010001156,0001000369,VZIINV01,2026-08-28T00:00:00,11:15:00,MM02
MATERIAL,000000000010001160,0001000370,VZIINV02,2026-07-27T00:00:00,07:09:00,MM02
MATERIAL,000000000010001164,0001000371,VZIINV01,2026-08-23T00:00:00,16:22:00,MM02
MATERIAL,000000000010001169,0001000372,VZIINV02,2026-09-04T00:00:00,10:14:00,MM02
MATERIAL,000000000010001170,0001000373,VZIINV01,2026-07-09T00:00:00,15:19:00,MM02
MATERIAL,000000000010001176,0001000374,VZIINV02,2026-06-07T00:00:00,17:30:00,MM02
MATERIAL,000000000010001177,0001000375,VZIINV01,2026-06-26T00:00:00,15:22:00,MM02
MATERIAL,000000000010001182,0001000376,VZIINV02,2026-06-21T00:00:00,15:31:00,MM02
MATERIAL,000000000010001186,0001000377,VZIINV01,2026-08-27T00:00:00,08:53:00,MM02
MATERIAL,000000000010001193,0001000378,VZIINV02,2026-08-01T00:00:00,15:44:00,MM02
MATERIAL,000000000010001195,0001000379,VZIINV02,2026-08-13T00:00:00,08:19:00,MM02
MATERIAL,000000000010001198,0001000380,VZIINV02,2026-09-03T00:00:00,14:50:00,MM02
MATERIAL,000000000080000250,0001000381,VZIINV01,2026-07-29T00:00:00,09:58:00,MM02
MATERIAL,000000000010001204,0001000382,VZIINV02,2026-09-07T00:00:00,09:52:00,MM02
MATERIAL,000000000010001206,0001000383,VZIINV02,2026-08-28T00:00:00,11:51:00,MM02
MATERIAL,000000000010001210,0001000384,VZIINV01,2026-06-01T00:00:00,07:03:00,MM02
MATERIAL,000000000010001214,0001000385,VZIINV01,2026-05-25T00:00:00,14:59:00,MM02
MATERIAL,000000000010001217,0001000386,VZIINV01,2026-06-11T00:00:00,07:09:00,MM02
MATERIAL,000000000010001221,0001000387,VZIINV01,2026-07-22T00:00:00,17:04:00,MM02
MATERIAL,000000000030000296,0001000388,VZIINV02,2026-08-01T00:00:00,12:37:00,MM02
MATERIAL,000000000010001230,0001000389,VZIINV02,2026-07-24T00:00:00,11:49:00,MM02
MATERIAL,000000000030000297,0001000390,VZIINV01,2026-08-21T00:00:00,14:48:00,MM02
MATERIAL,000000000010001233,0001000391,VZIINV02,2026-06-18T00:00:00,08:56:00,MM02
MATERIAL,000000000010001233,0001000392,VZIINV01,2026-08-22T00:00:00,07:29:00,MM02
MATERIAL,000000000010001235,0001000393,VZIINV01,2026-05-28T00:00:00,07:22:00,MM02
MATERIAL,000000000010001236,0001000394,VZIINV01,2026-07-07T00:00:00,09:26:00,MM02
MATERIAL,000000000010001240,0001000395,VZIINV01,2026-06-16T00:00:00,15:18:00,MM02
MATERIAL,000000000010001245,0001000396,VZIINV01,2026-09-07T00:00:00,13:51:00,MM02
MATERIAL,000000000080000258,0001000397,VZIINV02,2026-06-03T00:00:00,12:10:00,MM02
MATERIAL,000000000010001251,0001000398,VZIINV01,2026-08-07T00:00:00,15:25:00,MM02
MATERIAL,000000000010001255,0001000399,VZIINV01,2026-06-25T00:00:00,11:50:00,MM02
MATERIAL,000000000010001259,0001000400,VZIINV01,2026-06-03T00:00:00,07:20:00,MM02
MATERIAL,000000000010001261,0001000401,VZIINV02,2026-08-06T00:00:00,15:08:00,MM02
MATERIAL,000000000010001266,0001000402,VZIINV01,2026-06-12T00:00:00,16:47:00,MM02
MATERIAL,000000000010001268,0001000403,VZIINV01,2026-07-06T00:00:00,17:12:00,MM02
MATERIAL,000000000080000262,0001000404,VZIINV01,2026-09-05T00:00:00,14:58:00,MM02
MATERIAL,000000000010001270,0001000405,VZIINV02,2026-06-03T00:00:00,09:57:00,MM02
MATERIAL,000000000010001272,0001000406,VZIINV01,2026-07-02T00:00:00,10:54:00,MM02
MATERIAL,000000000010001273,0001000407,VZIINV02,2026-08-04T00:00:00,15:09:00,MM02
MATERIAL,000000000010001275,0001000408,VZIINV01,2026-09-04T00:00:00,08:42:00,MM02
MATERIAL,000000000080000263,0001000409,VZIINV02,2026-09-01T00:00:00,08:47:00,MM02
MATERIAL,000000000010001283,0001000410,VZIINV01,2026-06-02T00:00:00,12:54:00,MM02
MATERIAL,000000000010001286,0001000411,VZIINV02,2026-08-11T00:00:00,10:26:00,MM02
MATERIAL,000000000010001287,0001000412,VZIINV01,2026-08-29T00:00:00,08:32:00,MM02
MATERIAL,000000000010001288,0001000413,VZIINV02,2026-06-11T00:00:00,08:58:00,MM02
MATERIAL,000000000010001300,0001000414,VZIINV02,2026-05-16T00:00:00,08:59:00,MM02
MATERIAL,000000000010001301,0001000415,VZIINV01,2026-08-16T00:00:00,14:06:00,MM02
MATERIAL,000000000010001303,0001000416,VZIINV01,2026-07-23T00:00:00,13:25:00,MM02
MATERIAL,000000000030000310,0001000417,VZIINV01,2026-07-09T00:00:00,08:24:00,MM02
MATERIAL,000000000010001308,0001000418,VZIINV02,2026-07-11T00:00:00,08:59:00,MM02
MATERIAL,000000000080000267,0001000419,VZIINV02,2026-06-22T00:00:00,07:48:00,MM02
MATERIAL,000000000010001318,0001000420,VZIINV01,2026-07-31T00:00:00,14:59:00,MM02
MATERIAL,000000000010001319,0001000421,VZIINV01,2026-05-18T00:00:00,13:24:00,MM02
MATERIAL,000000000010001319,0001000422,VZIINV01,2026-06-11T00:00:00,12:07:00,MM02
MATERIAL,000000000010001321,0001000423,VZIINV02,2026-07-07T00:00:00,15:12:00,MM02
MATERIAL,000000000010001321,0001000424,VZIINV02,2026-08-17T00:00:00,13:00:00,MM02
MATERIAL,000000000010001327,0001000425,VZIINV01,2026-06-23T00:00:00,09:46:00,MM02
